review_order,question_id,job_id,concept_key,content_id,core_content_code,domain,topic_group,topic,title,source_label,batch_id,original_ordinal,is_paramedic_next_action_pilot,intended_pool_state
15,EMS2026-2-2-1-2-05,JOB-2-2-1-2-05,JOB-2-2-1-2-05,2.2.1.2,2.2.1.2,CLINICAL ASPECTS OF EMS MEDICINE,Trauma,Management and resuscitation of multi-trauma patient,Permissive Hypotension Boundary,first50_reviewed_website_push,20260705_first50_reviewed_website_push,13,False,voting
16,EMS2026-1-1-2-5-03,JOB-1-1-2-5-03,JOB-1-1-2-5-03,1.1.2.5,1.1.2.5,MEDICAL OVERSIGHT OF EMS,Medical Oversight,Patient abandonment,Abandonment And Inadequate Assessment,first50_reviewed_website_push,20260705_first50_reviewed_website_push,14,False,voting
17,EMS2026-4-2-5-1-03,JOB-4-2-5-1-03,JOB-4-2-5-1-03,4.2.5.1,4.2.5.1,DISASTER MANAGEMENT AND SPECIAL OPERATIONS,Mass Gathering,Onsite public safety answering point and dispatch,Event Dispatch Responsibilities,first50_reviewed_website_push,20260705_first50_reviewed_website_push,15,False,voting
18,EMS2026-2-1-2-6-03,JOB-2-1-2-6-03,JOB-2-1-2-6-03,2.1.2.6,2.1.2.6,CLINICAL ASPECTS OF EMS MEDICINE,RESUSCITATION,Control of post-tonsillectomy hemorrhage,Post-Tonsillectomy Airway Priority,paramedic_next_action_50,20260706_paramedic_next_action_50,3,True,voting
19,EMS2026-2-3-7-3-4-04,JOB-2-3-7-3-4-04,JOB-2-3-7-3-4-04,2.3.7.3.4,2.3.7.3.4,CLINICAL ASPECTS OF EMS MEDICINE,Medical Emergencies,Post-partum hemorrhage,Postpartum Hemorrhage Adjuncts,first50_reviewed_website_push,20260705_first50_reviewed_website_push,16,False,voting
20,EMS2026-2-4-5-5-01,JOB-2-4-5-5-01,JOB-2-4-5-5-01,2.4.5.5,2.4.5.5,CLINICAL ASPECTS OF EMS MEDICINE,Special Clinical Considerations,Brief resolved unexplained event (BRUE),BRUE Definition Boundary,first50_reviewed_website_push,20260705_first50_reviewed_website_push,17,False,voting
21,EMS2026-1-5-3-01,JOB-1-5-3-01,JOB-1-5-3-01,1.5.3,1.5.3,MEDICAL OVERSIGHT OF EMS,Crisis and Emergency Risk Communication,Emergency risk communication,Emergency Risk Communication Statement,first50_reviewed_website_push,20260705_first50_reviewed_website_push,18,False,voting
22,EMS2026-2-3-11-1-1-02,JOB-2-3-11-1-1-02,JOB-2-3-11-1-1-02,2.3.11.1.1,2.3.11.1.1,CLINICAL ASPECTS OF EMS MEDICINE,Medical Emergencies,"Contact (e.g., Norovirus, MRSA, Hep B, C)",Bloodborne Exposure Route,first50_reviewed_website_push,20260705_first50_reviewed_website_push,19,False,voting
23,EMS2026-2-4-5-1-05,JOB-2-4-5-1-05,JOB-2-4-5-1-05,2.4.5.1,2.4.5.1,CLINICAL ASPECTS OF EMS MEDICINE,Special Clinical Considerations,Pediatric airway management,Pediatric Airway Program Metrics,first50_reviewed_website_push,20260705_first50_reviewed_website_push,20,False,voting
24,EMS2026-2-1-3-1-03,JOB-2-1-3-1-03,JOB-2-1-3-1-03,2.1.3.1,2.1.3.1,CLINICAL ASPECTS OF EMS MEDICINE,RESUSCITATION,Recognition of shock and hypotension,Compensated Shock With Bleeding,paramedic_next_action_50,20260706_paramedic_next_action_50,4,True,voting
25,EMS2026-2-3-5-2-04,JOB-2-3-5-2-04,JOB-2-3-5-2-04,2.3.5.2,2.3.5.2,CLINICAL ASPECTS OF EMS MEDICINE,Medical Emergencies,Protocols for treat and release,Hypoglycemia Treat-And-Release Criteria,first50_reviewed_website_push,20260705_first50_reviewed_website_push,21,False,voting
26,EMS2026-3-2-2-05,JOB-3-2-2-05,JOB-3-2-2-05,3.2.2,3.2.2,QUALITY MANAGEMENT AND RESEARCH,Research,Epidemiology,Interventional Study Identification,first50_reviewed_website_push,20260705_first50_reviewed_website_push,22,False,voting
27,EMS2026-3-1-3-2-02,JOB-3-1-3-2-02,JOB-3-1-3-2-02,3.1.3.2,3.1.3.2,QUALITY MANAGEMENT AND RESEARCH,Quality Management,Quality improvement programs,QI Infrastructure And Trust,first50_reviewed_website_push,20260705_first50_reviewed_website_push,23,False,voting
28,EMS2026-2-4-1-02,JOB-2-4-1-02,JOB-2-4-1-02,2.4.1,2.4.1,CLINICAL ASPECTS OF EMS MEDICINE,Special Clinical Considerations,Point of Care Testing,Field-Relevant POC Testing,first50_reviewed_website_push,20260705_first50_reviewed_website_push,24,False,voting
29,EMS2026-3-1-2-2-04,JOB-3-1-2-2-04,JOB-3-1-2-2-04,3.1.2.2,3.1.2.2,QUALITY MANAGEMENT AND RESEARCH,Quality Management,Cognitive biases,Human Factors Safer Default,first50_reviewed_website_push,20260705_first50_reviewed_website_push,25,False,voting
30,EMS2026-2-1-3-2-03,JOB-2-1-3-2-03,JOB-2-1-3-2-03,2.1.3.2,2.1.3.2,CLINICAL ASPECTS OF EMS MEDICINE,RESUSCITATION,Management of hypotension and shock,Obstructive Shock From Chest Trauma,paramedic_next_action_50,20260706_paramedic_next_action_50,5,True,voting
31,EMS2026-1-4-4-3-01,JOB-1-4-4-3-01,JOB-1-4-4-3-01,1.4.4.3,1.4.4.3,MEDICAL OVERSIGHT OF EMS,EMS System Management,Public access defibrillation (PAD),Community Intervention For CARES Outcomes,first50_reviewed_website_push,20260705_first50_reviewed_website_push,26,False,voting
32,EMS2026-1-4-4-5-01,JOB-1-4-4-5-01,JOB-1-4-4-5-01,1.4.4.5,1.4.4.5,MEDICAL OVERSIGHT OF EMS,EMS System Management,"Integration of EMS, community public resources, mental health resources, and social services",Public Health Functions In EMS Collaboration,first50_reviewed_website_push,20260705_first50_reviewed_website_push,27,False,voting
33,EMS2026-3-2-3-3-01,JOB-3-2-3-3-01,JOB-3-2-3-3-01,3.2.3.3,3.2.3.3,QUALITY MANAGEMENT AND RESEARCH,Research,Data analysis,Intention-To-Treat Analysis,first50_reviewed_website_push,20260705_first50_reviewed_website_push,28,False,voting
34,EMS2026-2-3-1-1-03,JOB-2-3-1-1-03,JOB-2-3-1-1-03,2.3.1.1,2.3.1.1,CLINICAL ASPECTS OF EMS MEDICINE,Medical Emergencies,Determination of causes,Dyspnea Anchoring Trap,first50_reviewed_website_push,20260705_first50_reviewed_website_push,29,False,voting
35,EMS2026-4-4-4-05,JOB-4-4-4-05,JOB-4-4-4-05,4.4.4,4.4.4,DISASTER MANAGEMENT AND SPECIAL OPERATIONS,Tactical,Phases of care,Tactical Extraction Versus Routine Care,first50_reviewed_website_push,20260705_first50_reviewed_website_push,30,False,voting
36,EMS2026-2-1-3-3-3-02,JOB-2-1-3-3-3-02,JOB-2-1-3-3-3-02,2.1.3.3.3,2.1.3.3.3,CLINICAL ASPECTS OF EMS MEDICINE,RESUSCITATION,Placement of intraosseous lines (adult and pediatric),Pediatric IO Site With Tibial Fracture,paramedic_next_action_50,20260706_paramedic_next_action_50,6,True,voting
37,EMS2026-4-1-6-3-02,JOB-4-1-6-3-02,JOB-4-1-6-3-02,4.1.6.3,4.1.6.3,DISASTER MANAGEMENT AND SPECIAL OPERATIONS,Disaster Management,Contingency and crisis standards of care,Crisis Standards Legal Boundary,first50_reviewed_website_push,20260705_first50_reviewed_website_push,31,False,voting
38,EMS2026-2-3-11-7-03,JOB-2-3-11-7-03,JOB-2-3-11-7-03,2.3.11.7,2.3.11.7,CLINICAL ASPECTS OF EMS MEDICINE,Medical Emergencies,Cleaning and disinfection of the ambulance,Ambulance Decontamination PPE,first50_reviewed_website_push,20260705_first50_reviewed_website_push,32,False,voting
39,EMS2026-1-4-4-1-04,JOB-1-4-4-1-04,JOB-1-4-4-1-04,1.4.4.1,1.4.4.1,MEDICAL OVERSIGHT OF EMS,EMS System Management,Specialty hospital designations and patient transport,Specialty Designation Authority,first50_reviewed_website_push,20260705_first50_reviewed_website_push,33,False,voting
40,EMS2026-3-2-4-5-05,JOB-3-2-4-5-05,JOB-3-2-4-5-05,3.2.4.5,3.2.4.5,QUALITY MANAGEMENT AND RESEARCH,Research,Cost analysis research,Cost-Minimization Analysis,first50_reviewed_website_push,20260705_first50_reviewed_website_push,34,False,voting
41,EMS2026-1-3-4-1-1-07,JOB-1-3-4-1-1-07,JOB-1-3-4-1-1-07,1.3.4.1.1,1.3.4.1.1,MEDICAL OVERSIGHT OF EMS,EMS Personnel,"Regulations and standards (e.g., National Fire Protection Association [NFPA] 1582, Ryan White Act, Occupational Safety and Health Administration [OSHA] requirements, National Institute for Occupational Safety and Health [NIOSH])",Tuberculosis Exposure Program,first50_reviewed_website_push,20260705_first50_reviewed_website_push,35,False,voting
42,EMS2026-2-1-4-03,JOB-2-1-4-03,JOB-2-1-4-03,2.1.4,2.1.4,CLINICAL ASPECTS OF EMS MEDICINE,RESUSCITATION,Altered Mental Status,Airway First In Altered Mental Status,paramedic_next_action_50,20260706_paramedic_next_action_50,7,True,voting
43,EMS2026-1-4-6-1-02,JOB-1-4-6-1-02,JOB-1-4-6-1-02,1.4.6.1,1.4.6.1,MEDICAL OVERSIGHT OF EMS,EMS System Management,Alternative destinations,Alternative Destination Legal Check,first50_reviewed_website_push,20260705_first50_reviewed_website_push,36,False,voting
44,EMS2026-2-1-2-2-8-01,JOB-2-1-2-2-8-01,JOB-2-1-2-2-8-01,2.1.2.2.8,2.1.2.2.8,CLINICAL ASPECTS OF EMS MEDICINE,Resuscitation,Cricothyroidotomy,Prehospital Surgical Airway Indication,first50_reviewed_website_push,20260705_first50_reviewed_website_push,37,False,voting
45,EMS2026-4-6-2-3-01,JOB-4-6-2-3-01,JOB-4-6-2-3-01,4.6.2.3,4.6.2.3,DISASTER MANAGEMENT AND SPECIAL OPERATIONS,Wilderness,"Field reduction of dislocations, subluxations, or fractures",Wilderness Joint Reduction Tradeoff,first50_reviewed_website_push,20260705_first50_reviewed_website_push,38,False,voting
46,EMS2026-1-3-4-1-1-06,JOB-1-3-4-1-1-06,JOB-1-3-4-1-1-06,1.3.4.1.1,1.3.4.1.1,MEDICAL OVERSIGHT OF EMS,EMS Personnel,"Regulations and standards (e.g., National Fire Protection Association [NFPA] 1582, Ryan White Act, Occupational Safety and Health Administration [OSHA] requirements, National Institute for Occupational Safety and Health [NIOSH])",NFPA Department Physician Role,first50_reviewed_website_push,20260705_first50_reviewed_website_push,39,False,voting
47,EMS2026-1-1-1-2-2-02,JOB-1-1-1-2-2-02,JOB-1-1-1-2-2-02,1.1.1.2.2,1.1.1.2.2,MEDICAL OVERSIGHT OF EMS,Medical Oversight,Quality improvement programs,CQI Versus QA,first50_reviewed_website_push,20260705_first50_reviewed_website_push,40,False,voting
48,EMS2026-2-2-1-2-03,JOB-2-2-1-2-03,JOB-2-2-1-2-03,2.2.1.2,2.2.1.2,CLINICAL ASPECTS OF EMS MEDICINE,TRAUMA,Management and resuscitation of multi-trauma patient,Trauma Tension Pneumothorax Priority,paramedic_next_action_50,20260706_paramedic_next_action_50,8,True,voting
49,EMS2026-2-3-13-4-2-01,JOB-2-3-13-4-2-01,JOB-2-3-13-4-2-01,2.3.13.4.2,2.3.13.4.2,CLINICAL ASPECTS OF EMS MEDICINE,Medical Emergencies,Decompression illness,Decompression Sickness Mechanism,first50_reviewed_website_push,20260705_first50_reviewed_website_push,41,False,voting
50,EMS2026-4-2-1-3-02,JOB-4-2-1-3-02,JOB-4-2-1-3-02,4.2.1.3,4.2.1.3,DISASTER MANAGEMENT AND SPECIAL OPERATIONS,Mass Gathering,Design of event treatment facilities,Event Treatment Facility Design,first50_reviewed_website_push,20260705_first50_reviewed_website_push,42,False,voting
51,EMS2026-2-4-9-6-01,JOB-2-4-9-6-01,JOB-2-4-9-6-01,2.4.9.6,2.4.9.6,CLINICAL ASPECTS OF EMS MEDICINE,Special Clinical Considerations,Housing instability,Housing Status Documentation,first50_reviewed_website_push,20260705_first50_reviewed_website_push,43,False,voting
52,EMS2026-2-3-1-2-04,JOB-2-3-1-2-04,JOB-2-3-1-2-04,2.3.1.2,2.3.1.2,CLINICAL ASPECTS OF EMS MEDICINE,Medical Emergencies,Use of capnometry and capnography waveforms in diagnosis and management,Sepsis Low End-Tidal Carbon Dioxide Response,first50_reviewed_website_push,20260705_first50_reviewed_website_push,44,False,voting
53,EMS2026-2-3-7-2-2-03,JOB-2-3-7-2-2-03,JOB-2-3-7-2-2-03,2.3.7.2.2,2.3.7.2.2,CLINICAL ASPECTS OF EMS MEDICINE,Medical Emergencies,"High-risk delivery of a fetus (e.g., preterm delivery)",High-Risk Delivery Resources,first50_reviewed_website_push,20260705_first50_reviewed_website_push,45,False,voting
54,EMS2026-2-2-1-5-03,JOB-2-2-1-5-03,JOB-2-2-1-5-03,2.2.1.5,2.2.1.5,CLINICAL ASPECTS OF EMS MEDICINE,TRAUMA,Control of life-threatening hemorrhage,Junctional Hemorrhage Packing,paramedic_next_action_50,20260706_paramedic_next_action_50,9,True,voting
55,EMS2026-4-2-3-05,JOB-4-2-3-05,JOB-4-2-3-05,4.2.3,4.2.3,DISASTER MANAGEMENT AND SPECIAL OPERATIONS,Mass Gathering,Training and Drills,Mass Gathering Drill Participation,first50_reviewed_website_push,20260705_first50_reviewed_website_push,46,False,voting
56,EMS2026-4-1-7-2-1-02,JOB-4-1-7-2-1-02,JOB-4-1-7-2-1-02,4.1.7.2.1,4.1.7.2.1,DISASTER MANAGEMENT AND SPECIAL OPERATIONS,Disaster Management,Life-saving interventions and on-site treatment,Treatment Sector Function,first50_reviewed_website_push,20260705_first50_reviewed_website_push,47,False,voting
57,EMS2026-4-2-1-5-05,JOB-4-2-1-5-05,JOB-4-2-1-5-05,4.2.1.5,4.2.1.5,DISASTER MANAGEMENT AND SPECIAL OPERATIONS,Mass Gathering,MCI preparedness within mass gathering,Mass Gathering Initial Resource Report,first50_reviewed_website_push,20260705_first50_reviewed_website_push,48,False,voting
58,EMS2026-2-3-2-7-02,JOB-2-3-2-7-02,JOB-2-3-2-7-02,2.3.2.7,2.3.2.7,CLINICAL ASPECTS OF EMS MEDICINE,Medical Emergencies,Wearable cardioverter defibrillator,Wearable Defibrillator During CPR,first50_reviewed_website_push,20260705_first50_reviewed_website_push,49,False,voting
59,EMS2026-4-1-7-2-1-04,JOB-4-1-7-2-1-04,JOB-4-1-7-2-1-04,4.1.7.2.1,4.1.7.2.1,DISASTER MANAGEMENT AND SPECIAL OPERATIONS,Disaster Management,Life-saving interventions and on-site treatment,Nontransporting ALS In Treatment Areas,first50_reviewed_website_push,20260705_first50_reviewed_website_push,50,False,voting
60,EMS2026-2-2-6-02,JOB-2-2-6-02,JOB-2-2-6-02,2.2.6,2.2.6,CLINICAL ASPECTS OF EMS MEDICINE,TRAUMA,Facial and Ocular Trauma,Alkali Eye Burn Irrigation,paramedic_next_action_50,20260706_paramedic_next_action_50,10,True,voting
61,EMS2026-2-2-1-4-2-04,JOB-2-2-1-4-2-04,JOB-2-2-1-4-2-04,2.2.1.4.2,2.2.1.4.2,CLINICAL ASPECTS OF EMS MEDICINE,,Gunshot wounds and ballistics,Spinal Restriction In Gunshot Wounds,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,1,False,voting
62,EMS2026-1-2-7-02,JOB-1-2-7-02,JOB-1-2-7-02,1.2.7,1.2.7,MEDICAL OVERSIGHT OF EMS,,Regionalization of Care,Emergency Medical Care System Scope,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,2,False,voting
63,EMS2026-2-3-8-3-05,JOB-2-3-8-3-05,JOB-2-3-8-3-05,2.3.8.3,2.3.8.3,CLINICAL ASPECTS OF EMS MEDICINE,,Treatment with antidotes,Antidote Matching in Toxic Shock,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,3,False,voting
64,EMS2026-4-5-5-01,JOB-4-5-5-01,JOB-4-5-5-01,4.5.5,4.5.5,DISASTER MANAGEMENT AND SPECIAL OPERATIONS,,Operational considerations,Equipment Staging Before Access,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,4,False,voting
65,EMS2026-4-5-1-1-04,JOB-4-5-1-1-04,JOB-4-5-1-1-04,4.5.1.1,4.5.1.1,DISASTER MANAGEMENT AND SPECIAL OPERATIONS,,Rope rescue,High-Angle Rescue Equipment Planning,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,5,False,voting
66,EMS2026-2-2-8-2-03,JOB-2-2-8-2-03,JOB-2-2-8-2-03,2.2.8.2,2.2.8.2,CLINICAL ASPECTS OF EMS MEDICINE,TRAUMA,Crush injuries,Crush Release Preparation,paramedic_next_action_50,20260706_paramedic_next_action_50,11,True,voting
67,EMS2026-4-7-4-05,JOB-4-7-4-05,JOB-4-7-4-05,4.7.4,4.7.4,DISASTER MANAGEMENT AND SPECIAL OPERATIONS,,Medical oversight models,Mobile Integrated Health Medical Direction,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,6,False,voting
68,EMS2026-2-3-7-8-05,JOB-2-3-7-8-05,JOB-2-3-7-8-05,2.3.7.8,2.3.7.4,CLINICAL ASPECTS OF EMS MEDICINE,,Systems of care (including destination decisions),Resuscitative Hysterotomy,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,7,False,voting
69,EMS2026-2-1-2-2-4-04,JOB-2-1-2-2-4-04,JOB-2-1-2-2-4-04,2.1.2.2.4,2.1.2.2.4,CLINICAL ASPECTS OF EMS MEDICINE,,Video laryngoscopy,Video Laryngoscopy For Team Performance,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,8,False,voting
70,EMS2026-3-2-1-2-05,JOB-3-2-1-2-05,JOB-3-2-1-2-05,3.2.1.2,3.2.1.2,QUALITY MANAGEMENT AND RESEARCH,,Role of the Institutional Review Board,Exempt Review in EMS Research,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,9,False,voting
71,EMS2026-2-4-13-03,JOB-2-4-13-03,JOB-2-4-13-03,2.4.13,2.4.13,CLINICAL ASPECTS OF EMS MEDICINE,,Gender-based Health Issues,Names and Pronouns in Prehospital Care,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,10,False,voting
72,EMS2026-2-3-1-2-02,JOB-2-3-1-2-02,JOB-2-3-1-2-02,2.3.1.2,2.3.1.2,CLINICAL ASPECTS OF EMS MEDICINE,MEDICAL EMERGENCIES,Use of capnometry and capnography waveforms in diagnosis and management,Capnography Drop During Ventilation,paramedic_next_action_50,20260706_paramedic_next_action_50,12,True,voting
73,EMS2026-3-1-6-08,JOB-3-1-6-08,JOB-3-1-6-08,3.1.6,3.1.6,QUALITY MANAGEMENT AND RESEARCH,,Implementation Science,Equity Monitoring During Implementation,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,11,False,voting
74,EMS2026-2-2-8-1-04,JOB-2-2-8-1-04,JOB-2-2-8-1-04,2.2.8.1,2.2.8.1,CLINICAL ASPECTS OF EMS MEDICINE,,Field limb amputation,Traumatic Amputation Stump Care,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,12,False,voting
75,EMS2026-1-1-1-2-2-01,JOB-1-1-1-2-2-01,JOB-1-1-1-2-2-01,1.1.1.2.2,1.1.1.2.2,MEDICAL OVERSIGHT OF EMS,,Quality improvement programs,QI Versus Discipline For A Process Defect,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,13,False,voting
76,EMS2026-1-5-1-12,JOB-1-5-1-12,JOB-1-5-1-12,1.5.1,1.5.1,MEDICAL OVERSIGHT OF EMS,,Public information and interacting with the media,Public Reporting Without Misleading,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,14,False,voting
77,EMS2026-2-3-1-6-1-05,JOB-2-3-1-6-1-05,JOB-2-3-1-6-1-05,2.3.1.6.1,2.3.1.6.1,CLINICAL ASPECTS OF EMS MEDICINE,,Clinical diagnosis,Pneumothorax During Air Transport,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,15,False,voting
78,EMS2026-2-3-1-3-02,JOB-2-3-1-3-02,JOB-2-3-1-3-02,2.3.1.3,2.3.1.3,CLINICAL ASPECTS OF EMS MEDICINE,MEDICAL EMERGENCIES,Management of respiratory distress or shortness of breath,Ventilatory Support In COPD Exhaustion,paramedic_next_action_50,20260706_paramedic_next_action_50,13,True,voting
79,EMS2026-1-3-7-08,JOB-1-3-7-08,JOB-1-3-7-08,1.3.7,1.3.7,MEDICAL OVERSIGHT OF EMS,,Diverse and Inclusive Workforce,"Race, Ethnicity, And EMS Care Differences",legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,16,False,voting
80,EMS2026-3-2-1-1-07,JOB-3-2-1-1-07,JOB-3-2-1-1-07,3.2.1.1,3.2.1.1,QUALITY MANAGEMENT AND RESEARCH,,"Ethical frameworks (e.g., Belmont Report, Common Rule, Final Rule)",The Common Rule,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,17,False,voting
81,EMS2026-4-6-2-4-02,JOB-4-6-2-4-02,JOB-4-6-2-4-02,4.6.2.4,4.6.2.4,DISASTER MANAGEMENT AND SPECIAL OPERATIONS,,Patient temperature management,Hypothermia Handling Priority,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,18,False,voting
82,EMS2026-2-4-12-1-02,JOB-2-4-12-1-02,JOB-2-4-12-1-02,2.4.12.1,2.4.12.1,CLINICAL ASPECTS OF EMS MEDICINE,,Lift assist calls,Lift Assist Refusal Risk,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,19,False,voting
83,EMS2026-1-3-6-08,JOB-1-3-6-08,JOB-1-3-6-08,1.3.6,1.3.6,MEDICAL OVERSIGHT OF EMS,,Recruitment and Retention,Recruitment And Systemic Racism,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,20,False,voting
84,EMS2026-2-3-1-4-01,JOB-2-3-1-4-01,JOB-2-3-1-4-01,2.3.1.4,2.3.1.4,CLINICAL ASPECTS OF EMS MEDICINE,MEDICAL EMERGENCIES,Non-invasive positive pressure ventilation,CPAP For Pulmonary Edema,paramedic_next_action_50,20260706_paramedic_next_action_50,14,True,voting
85,EMS2026-4-5-1-5-04,JOB-4-5-1-5-04,JOB-4-5-1-5-04,4.5.1.5,4.5.1.5,DISASTER MANAGEMENT AND SPECIAL OPERATIONS,,Vehicle and machinery rescue,Medical Advice During Machinery Disentanglement,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,21,False,voting
86,EMS2026-2-2-1-1-04,JOB-2-2-1-1-04,JOB-2-2-1-1-04,2.2.1.1,2.2.1.1,CLINICAL ASPECTS OF EMS MEDICINE,,Goal of minimizing scene time for severe trauma,Scene Time Versus Hemorrhage Control,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,22,False,voting
87,EMS2026-1-3-2-2-01,JOB-1-3-2-2-01,JOB-1-3-2-2-01,1.3.2.2,1.3.2.2,MEDICAL OVERSIGHT OF EMS,,Education delivery models,Hybrid Education For A Psychomotor Skill,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,23,False,voting
88,EMS2026-1-1-2-7-06,JOB-1-1-2-7-06,JOB-1-1-2-7-06,1.1.2.7,1.1.2.7,MEDICAL OVERSIGHT OF EMS,,Risk management,Risk Management Applied To Crashes,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,24,False,voting
