question_number,pilot_id,core_content_code,correct_answer,length_complexity_flag,option_architecture_flags,option_a_words,option_a_chars,option_a_complexity,option_b_words,option_b_chars,option_b_complexity,option_c_words,option_c_chars,option_c_complexity,option_d_words,option_d_chars,option_d_complexity
27,PARAMEDIC-NEXT50-027,2.3.8.5.1,C,,,6,30,8,5,36,7,3,21,4,6,40,8
28,PARAMEDIC-NEXT50-028,2.3.10.1,D,,,5,39,7,5,39,9,5,29,7,5,35,7
29,PARAMEDIC-NEXT50-029,2.3.10.2,A,,,4,27,6,5,26,7,5,30,6,5,30,7
30,PARAMEDIC-NEXT50-030,2.3.11.1.3,B,,,7,50,13,6,41,12,7,54,14,6,53,13
31,PARAMEDIC-NEXT50-031,2.3.11.5.4.4,C,,,6,46,6,5,26,5,4,31,4,5,31,7
32,PARAMEDIC-NEXT50-032,2.3.12.1.1,D,,,5,36,7,6,33,8,5,38,7,5,31,5
33,PARAMEDIC-NEXT50-033,2.3.12.1.3,A,,,7,42,9,6,38,6,3,32,3,7,54,10
34,PARAMEDIC-NEXT50-034,2.3.12.2,B,,,6,40,6,5,36,8,6,32,6,7,44,9
35,PARAMEDIC-NEXT50-035,2.3.12.3.4,C,,,5,39,7,5,33,7,3,20,3,4,33,5
36,PARAMEDIC-NEXT50-036,2.3.13.1.1,D,,,5,40,8,3,26,3,4,31,4,3,21,3
37,PARAMEDIC-NEXT50-037,2.3.13.1.3,A,,,4,26,6,5,29,5,5,28,11,5,27,7
38,PARAMEDIC-NEXT50-038,2.3.13.2.1,B,,,5,29,7,4,23,4,7,49,8,9,44,11
39,PARAMEDIC-NEXT50-039,2.3.13.4.1,C,,,5,35,8,5,31,5,5,33,8,5,35,8
40,PARAMEDIC-NEXT50-040,2.4.5.1,D,,,5,32,7,5,27,7,4,29,5,3,26,4
41,PARAMEDIC-NEXT50-041,2.4.5.4,A,,,3,25,3,5,33,7,4,31,6,4,31,5
42,PARAMEDIC-NEXT50-042,2.4.5.7,B,,,11,52,11,9,63,12,10,61,12,15,71,17
43,PARAMEDIC-NEXT50-043,2.4.6.1,C,,,5,30,7,5,25,7,4,25,4,5,29,5
44,PARAMEDIC-NEXT50-044,2.4.6.3,D,,,4,26,4,4,36,5,7,49,7,5,36,5
45,PARAMEDIC-NEXT50-045,2.4.7.2,A,,,5,33,7,5,32,7,5,29,7,5,36,7
46,PARAMEDIC-NEXT50-046,2.4.8.1,B,,,4,22,4,5,31,7,6,49,7,6,33,8
47,PARAMEDIC-NEXT50-047,2.4.9.2,C,,,4,24,4,4,30,6,4,25,4,4,26,6
48,PARAMEDIC-NEXT50-048,2.4.9.3,D,,,5,35,5,6,32,6,7,44,7,7,44,7
49,PARAMEDIC-NEXT50-049,2.3.9.5,A,,,4,22,4,5,32,5,5,40,5,6,31,6
50,PARAMEDIC-NEXT50-050,2.3.11.3.4,B,,,6,38,8,6,39,10,6,42,10,6,49,10
