job_id,question_id,content_id,topic,domain,original_job_status,roadmap_candidate_status,status_note
JOB-1-1-1-2-1-02,EMS2026-1-1-1-2-1-02,1.1.1.2.1,Development of medical protocols,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-2-1-03,EMS2026-1-1-1-2-1-03,1.1.1.2.1,Development of medical protocols,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-2-1-04,EMS2026-1-1-1-2-1-04,1.1.1.2.1,Development of medical protocols,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-2-1-05,EMS2026-1-1-1-2-1-05,1.1.1.2.1,Development of medical protocols,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-2-1-06,EMS2026-1-1-1-2-1-06,1.1.1.2.1,Development of medical protocols,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,already_drafted_or_staged_on_website,Present in active live400 tracker after duplicate replacement.
JOB-1-1-1-2-1-07,EMS2026-1-1-1-2-1-07,1.1.1.2.1,Development of medical protocols,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-2-1-08,EMS2026-1-1-1-2-1-08,1.1.1.2.1,Development of medical protocols,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-2-2-01,EMS2026-1-1-1-2-2-01,1.1.1.2.2,Quality improvement programs,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,already_drafted_or_staged_on_website,Present in active live400 tracker after duplicate replacement.
JOB-1-1-1-2-2-02,EMS2026-1-1-1-2-2-02,1.1.1.2.2,Quality improvement programs,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,already_drafted_or_staged_on_website,Present in active live400 tracker after duplicate replacement.
JOB-1-1-1-2-2-03,EMS2026-1-1-1-2-2-03,1.1.1.2.2,Quality improvement programs,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-2-2-04,EMS2026-1-1-1-2-2-04,1.1.1.2.2,Quality improvement programs,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-2-2-05,EMS2026-1-1-1-2-2-05,1.1.1.2.2,Quality improvement programs,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-2-2-06,EMS2026-1-1-1-2-2-06,1.1.1.2.2,Quality improvement programs,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-2-2-07,EMS2026-1-1-1-2-2-07,1.1.1.2.2,Quality improvement programs,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-2-2-08,EMS2026-1-1-1-2-2-08,1.1.1.2.2,Quality improvement programs,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-2-3-01,EMS2026-1-1-1-2-3-01,1.1.1.2.3,Determination of medical necessity in the field,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,already_drafted_or_staged_on_website,Present in active live400 tracker after duplicate replacement.
JOB-1-1-1-2-3-02,EMS2026-1-1-1-2-3-02,1.1.1.2.3,Determination of medical necessity in the field,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-2-3-03,EMS2026-1-1-1-2-3-03,1.1.1.2.3,Determination of medical necessity in the field,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-2-3-04,EMS2026-1-1-1-2-3-04,1.1.1.2.3,Determination of medical necessity in the field,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-2-3-05,EMS2026-1-1-1-2-3-05,1.1.1.2.3,Determination of medical necessity in the field,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,already_drafted_or_staged_on_website,Present in active live400 tracker after duplicate replacement.
JOB-1-1-1-2-3-06,EMS2026-1-1-1-2-3-06,1.1.1.2.3,Determination of medical necessity in the field,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,already_drafted_or_staged_on_website,Present in active live400 tracker after duplicate replacement.
JOB-1-1-1-2-3-07,EMS2026-1-1-1-2-3-07,1.1.1.2.3,Determination of medical necessity in the field,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-2-3-08,EMS2026-1-1-1-2-3-08,1.1.1.2.3,Determination of medical necessity in the field,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-3-01,EMS2026-1-1-1-3-01,1.1.1.3,Assessment of personnel competence and fitness for duty (initial and continued),MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-3-02,EMS2026-1-1-1-3-02,1.1.1.3,Assessment of personnel competence and fitness for duty (initial and continued),MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-3-03,EMS2026-1-1-1-3-03,1.1.1.3,Assessment of personnel competence and fitness for duty (initial and continued),MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-3-04,EMS2026-1-1-1-3-04,1.1.1.3,Assessment of personnel competence and fitness for duty (initial and continued),MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,already_drafted_or_staged_on_website,Present in active live400 tracker after duplicate replacement.
JOB-1-1-1-3-05,EMS2026-1-1-1-3-05,1.1.1.3,Assessment of personnel competence and fitness for duty (initial and continued),MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,already_drafted_or_staged_on_website,Present in active live400 tracker after duplicate replacement.
JOB-1-1-1-3-06,EMS2026-1-1-1-3-06,1.1.1.3,Assessment of personnel competence and fitness for duty (initial and continued),MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-3-07,EMS2026-1-1-1-3-07,1.1.1.3,Assessment of personnel competence and fitness for duty (initial and continued),MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-3-08,EMS2026-1-1-1-3-08,1.1.1.3,Assessment of personnel competence and fitness for duty (initial and continued),MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-3-09,EMS2026-1-1-1-3-09,1.1.1.3,Assessment of personnel competence and fitness for duty (initial and continued),MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-3-10,EMS2026-1-1-1-3-10,1.1.1.3,Assessment of personnel competence and fitness for duty (initial and continued),MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-4-01,EMS2026-1-1-1-4-01,1.1.1.4,Medical director qualifications,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-4-02,EMS2026-1-1-1-4-02,1.1.1.4,Medical director qualifications,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-4-03,EMS2026-1-1-1-4-03,1.1.1.4,Medical director qualifications,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-4-04,EMS2026-1-1-1-4-04,1.1.1.4,Medical director qualifications,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-4-05,EMS2026-1-1-1-4-05,1.1.1.4,Medical director qualifications,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-4-06,EMS2026-1-1-1-4-06,1.1.1.4,Medical director qualifications,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-4-07,EMS2026-1-1-1-4-07,1.1.1.4,Medical director qualifications,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,already_drafted_or_staged_on_website,Present in active live400 tracker after duplicate replacement.
JOB-1-1-1-4-08,EMS2026-1-1-1-4-08,1.1.1.4,Medical director qualifications,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-4-09,EMS2026-1-1-1-4-09,1.1.1.4,Medical director qualifications,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-4-10,EMS2026-1-1-1-4-10,1.1.1.4,Medical director qualifications,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-1-01,EMS2026-1-1-2-1-01,1.1.2.1,Definition of a patient,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-1-02,EMS2026-1-1-2-1-02,1.1.2.1,Definition of a patient,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,already_drafted_or_staged_on_website,Present in active live400 tracker after duplicate replacement.
JOB-1-1-2-1-03,EMS2026-1-1-2-1-03,1.1.2.1,Definition of a patient,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-1-04,EMS2026-1-1-2-1-04,1.1.2.1,Definition of a patient,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-1-05,EMS2026-1-1-2-1-05,1.1.2.1,Definition of a patient,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-1-06,EMS2026-1-1-2-1-06,1.1.2.1,Definition of a patient,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,already_drafted_or_staged_on_website,Present in active live400 tracker after duplicate replacement.
JOB-1-1-2-1-07,EMS2026-1-1-2-1-07,1.1.2.1,Definition of a patient,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-1-08,EMS2026-1-1-2-1-08,1.1.2.1,Definition of a patient,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-1-09,EMS2026-1-1-2-1-09,1.1.2.1,Definition of a patient,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-2-01,EMS2026-1-1-2-2-01,1.1.2.2,Mandatory reporting,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-2-02,EMS2026-1-1-2-2-02,1.1.2.2,Mandatory reporting,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-2-03,EMS2026-1-1-2-2-03,1.1.2.2,Mandatory reporting,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-2-04,EMS2026-1-1-2-2-04,1.1.2.2,Mandatory reporting,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-2-05,EMS2026-1-1-2-2-05,1.1.2.2,Mandatory reporting,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-2-06,EMS2026-1-1-2-2-06,1.1.2.2,Mandatory reporting,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-2-07,EMS2026-1-1-2-2-07,1.1.2.2,Mandatory reporting,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-2-08,EMS2026-1-1-2-2-08,1.1.2.2,Mandatory reporting,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-2-09,EMS2026-1-1-2-2-09,1.1.2.2,Mandatory reporting,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,already_drafted_or_staged_on_website,Present in active live400 tracker after duplicate replacement.
JOB-1-1-2-3-01,EMS2026-1-1-2-3-01,1.1.2.3,Determination and/or pronouncement of death,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-3-02,EMS2026-1-1-2-3-02,1.1.2.3,Determination and/or pronouncement of death,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-3-03,EMS2026-1-1-2-3-03,1.1.2.3,Determination and/or pronouncement of death,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,already_drafted_or_staged_on_website,Present in active live400 tracker after duplicate replacement.
JOB-1-1-2-3-04,EMS2026-1-1-2-3-04,1.1.2.3,Determination and/or pronouncement of death,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-3-05,EMS2026-1-1-2-3-05,1.1.2.3,Determination and/or pronouncement of death,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-3-06,EMS2026-1-1-2-3-06,1.1.2.3,Determination and/or pronouncement of death,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,already_drafted_or_staged_on_website,Present in active live400 tracker after duplicate replacement.
JOB-1-1-2-3-07,EMS2026-1-1-2-3-07,1.1.2.3,Determination and/or pronouncement of death,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-3-08,EMS2026-1-1-2-3-08,1.1.2.3,Determination and/or pronouncement of death,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-3-09,EMS2026-1-1-2-3-09,1.1.2.3,Determination and/or pronouncement of death,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-4-1-01,EMS2026-1-1-2-4-1-01,1.1.2.4.1,Informed consent and informed refusal,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-4-1-02,EMS2026-1-1-2-4-1-02,1.1.2.4.1,Informed consent and informed refusal,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-4-1-03,EMS2026-1-1-2-4-1-03,1.1.2.4.1,Informed consent and informed refusal,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-4-1-04,EMS2026-1-1-2-4-1-04,1.1.2.4.1,Informed consent and informed refusal,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-4-1-05,EMS2026-1-1-2-4-1-05,1.1.2.4.1,Informed consent and informed refusal,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,already_drafted_or_staged_on_website,Present in active live400 tracker after duplicate replacement.
JOB-1-1-2-4-1-06,EMS2026-1-1-2-4-1-06,1.1.2.4.1,Informed consent and informed refusal,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-4-1-07,EMS2026-1-1-2-4-1-07,1.1.2.4.1,Informed consent and informed refusal,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-4-1-08,EMS2026-1-1-2-4-1-08,1.1.2.4.1,Informed consent and informed refusal,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-4-2-01,EMS2026-1-1-2-4-2-01,1.1.2.4.2,Difference between capacity and competence,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-4-2-02,EMS2026-1-1-2-4-2-02,1.1.2.4.2,Difference between capacity and competence,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-4-2-03,EMS2026-1-1-2-4-2-03,1.1.2.4.2,Difference between capacity and competence,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,already_drafted_or_staged_on_website,Present in active live400 tracker after duplicate replacement.
JOB-1-1-2-4-2-04,EMS2026-1-1-2-4-2-04,1.1.2.4.2,Difference between capacity and competence,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-4-2-05,EMS2026-1-1-2-4-2-05,1.1.2.4.2,Difference between capacity and competence,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-4-2-06,EMS2026-1-1-2-4-2-06,1.1.2.4.2,Difference between capacity and competence,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-4-2-07,EMS2026-1-1-2-4-2-07,1.1.2.4.2,Difference between capacity and competence,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-4-2-08,EMS2026-1-1-2-4-2-08,1.1.2.4.2,Difference between capacity and competence,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-5-01,EMS2026-1-1-2-5-01,1.1.2.5,Patient abandonment,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-5-02,EMS2026-1-1-2-5-02,1.1.2.5,Patient abandonment,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-5-03,EMS2026-1-1-2-5-03,1.1.2.5,Patient abandonment,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,already_drafted_or_staged_on_website,Present in active live400 tracker after duplicate replacement.
JOB-1-1-2-5-04,EMS2026-1-1-2-5-04,1.1.2.5,Patient abandonment,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-5-05,EMS2026-1-1-2-5-05,1.1.2.5,Patient abandonment,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-5-06,EMS2026-1-1-2-5-06,1.1.2.5,Patient abandonment,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-5-07,EMS2026-1-1-2-5-07,1.1.2.5,Patient abandonment,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-5-08,EMS2026-1-1-2-5-08,1.1.2.5,Patient abandonment,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-6-01,EMS2026-1-1-2-6-01,1.1.2.6,Due process,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-6-02,EMS2026-1-1-2-6-02,1.1.2.6,Due process,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-6-03,EMS2026-1-1-2-6-03,1.1.2.6,Due process,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-6-04,EMS2026-1-1-2-6-04,1.1.2.6,Due process,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-2-6-05,EMS2026-1-1-2-6-05,1.1.2.6,Due process,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,already_drafted_or_staged_on_website,Present in active live400 tracker after duplicate replacement.
