review_order,question_id,job_id,content_id,title,source_label,candidate_status,status_note
18,EMS2026-2-1-2-6-03,JOB-2-1-2-6-03,2.1.2.6,Post-Tonsillectomy Airway Priority,paramedic_next_action_50,active_or_staged_candidate,
19,EMS2026-2-3-7-3-4-04,JOB-2-3-7-3-4-04,2.3.7.3.4,Postpartum Hemorrhage Adjuncts,first50_reviewed_website_push,active_or_staged_candidate,
20,EMS2026-2-4-5-5-01,JOB-2-4-5-5-01,2.4.5.5,BRUE Definition Boundary,first50_reviewed_website_push,active_or_staged_candidate,
21,EMS2026-1-5-3-01,JOB-1-5-3-01,1.5.3,Emergency Risk Communication Statement,first50_reviewed_website_push,active_or_staged_candidate,
22,EMS2026-2-3-11-1-1-02,JOB-2-3-11-1-1-02,2.3.11.1.1,Bloodborne Exposure Route,first50_reviewed_website_push,active_or_staged_candidate,
23,EMS2026-2-4-5-1-05,JOB-2-4-5-1-05,2.4.5.1,Pediatric Airway Program Metrics,first50_reviewed_website_push,active_or_staged_candidate,
24,EMS2026-2-1-3-1-03,JOB-2-1-3-1-03,2.1.3.1,Compensated Shock With Bleeding,paramedic_next_action_50,active_or_staged_candidate,
25,EMS2026-2-3-5-2-04,JOB-2-3-5-2-04,2.3.5.2,Hypoglycemia Treat-And-Release Criteria,first50_reviewed_website_push,active_or_staged_candidate,
26,EMS2026-3-2-2-05,JOB-3-2-2-05,3.2.2,Interventional Study Identification,first50_reviewed_website_push,active_or_staged_candidate,
27,EMS2026-3-1-3-2-02,JOB-3-1-3-2-02,3.1.3.2,QI Infrastructure And Trust,first50_reviewed_website_push,active_or_staged_candidate,
28,EMS2026-2-4-1-02,JOB-2-4-1-02,2.4.1,Field-Relevant POC Testing,first50_reviewed_website_push,active_or_staged_candidate,
29,EMS2026-3-1-2-2-04,JOB-3-1-2-2-04,3.1.2.2,Human Factors Safer Default,first50_reviewed_website_push,active_or_staged_candidate,
30,EMS2026-2-1-3-2-03,JOB-2-1-3-2-03,2.1.3.2,Obstructive Shock From Chest Trauma,paramedic_next_action_50,active_or_staged_candidate,
31,EMS2026-1-4-4-3-01,JOB-1-4-4-3-01,1.4.4.3,Community Intervention For CARES Outcomes,first50_reviewed_website_push,active_or_staged_candidate,
32,EMS2026-1-4-4-5-01,JOB-1-4-4-5-01,1.4.4.5,Public Health Functions In EMS Collaboration,first50_reviewed_website_push,active_or_staged_candidate,
33,EMS2026-3-2-3-3-01,JOB-3-2-3-3-01,3.2.3.3,Intention-To-Treat Analysis,first50_reviewed_website_push,active_or_staged_candidate,
34,EMS2026-2-3-1-1-03,JOB-2-3-1-1-03,2.3.1.1,Dyspnea Anchoring Trap,first50_reviewed_website_push,active_or_staged_candidate,
35,EMS2026-4-4-4-05,JOB-4-4-4-05,4.4.4,Tactical Extraction Versus Routine Care,first50_reviewed_website_push,active_or_staged_candidate,
36,EMS2026-2-1-3-3-3-02,JOB-2-1-3-3-3-02,2.1.3.3.3,Pediatric IO Site With Tibial Fracture,paramedic_next_action_50,active_or_staged_candidate,
37,EMS2026-4-1-6-3-02,JOB-4-1-6-3-02,4.1.6.3,Crisis Standards Legal Boundary,first50_reviewed_website_push,active_or_staged_candidate,
38,EMS2026-2-3-11-7-03,JOB-2-3-11-7-03,2.3.11.7,Ambulance Decontamination PPE,first50_reviewed_website_push,active_or_staged_candidate,
39,EMS2026-1-4-4-1-04,JOB-1-4-4-1-04,1.4.4.1,Specialty Designation Authority,first50_reviewed_website_push,active_or_staged_candidate,
40,EMS2026-3-2-4-5-05,JOB-3-2-4-5-05,3.2.4.5,Cost-Minimization Analysis,first50_reviewed_website_push,active_or_staged_candidate,
41,EMS2026-1-3-4-1-1-07,JOB-1-3-4-1-1-07,1.3.4.1.1,Tuberculosis Exposure Program,first50_reviewed_website_push,active_or_staged_candidate,
42,EMS2026-2-1-4-03,JOB-2-1-4-03,2.1.4,Airway First In Altered Mental Status,paramedic_next_action_50,active_or_staged_candidate,
43,EMS2026-1-4-6-1-02,JOB-1-4-6-1-02,1.4.6.1,Alternative Destination Legal Check,first50_reviewed_website_push,active_or_staged_candidate,
44,EMS2026-2-1-2-2-8-01,JOB-2-1-2-2-8-01,2.1.2.2.8,Prehospital Surgical Airway Indication,first50_reviewed_website_push,active_or_staged_candidate,
45,EMS2026-4-6-2-3-01,JOB-4-6-2-3-01,4.6.2.3,Wilderness Joint Reduction Tradeoff,first50_reviewed_website_push,active_or_staged_candidate,
46,EMS2026-1-3-4-1-1-06,JOB-1-3-4-1-1-06,1.3.4.1.1,NFPA Department Physician Role,first50_reviewed_website_push,active_or_staged_candidate,
47,EMS2026-1-1-1-2-2-02,JOB-1-1-1-2-2-02,1.1.1.2.2,CQI Versus QA,first50_reviewed_website_push,active_or_staged_candidate,
48,EMS2026-2-2-1-2-03,JOB-2-2-1-2-03,2.2.1.2,Trauma Tension Pneumothorax Priority,paramedic_next_action_50,active_or_staged_candidate,
49,EMS2026-2-3-13-4-2-01,JOB-2-3-13-4-2-01,2.3.13.4.2,Decompression Sickness Mechanism,first50_reviewed_website_push,active_or_staged_candidate,
50,EMS2026-4-2-1-3-02,JOB-4-2-1-3-02,4.2.1.3,Event Treatment Facility Design,first50_reviewed_website_push,active_or_staged_candidate,
51,EMS2026-2-4-9-6-01,JOB-2-4-9-6-01,2.4.9.6,Housing Status Documentation,first50_reviewed_website_push,active_or_staged_candidate,
52,EMS2026-2-3-1-2-04,JOB-2-3-1-2-04,2.3.1.2,Sepsis Low End-Tidal Carbon Dioxide Response,first50_reviewed_website_push,active_or_staged_candidate,
53,EMS2026-2-3-7-2-2-03,JOB-2-3-7-2-2-03,2.3.7.2.2,High-Risk Delivery Resources,first50_reviewed_website_push,active_or_staged_candidate,
54,EMS2026-2-2-1-5-03,JOB-2-2-1-5-03,2.2.1.5,Junctional Hemorrhage Packing,paramedic_next_action_50,active_or_staged_candidate,
55,EMS2026-4-2-3-05,JOB-4-2-3-05,4.2.3,Mass Gathering Drill Participation,first50_reviewed_website_push,active_or_staged_candidate,
56,EMS2026-4-1-7-2-1-02,JOB-4-1-7-2-1-02,4.1.7.2.1,Treatment Sector Function,first50_reviewed_website_push,active_or_staged_candidate,
57,EMS2026-4-2-1-5-05,JOB-4-2-1-5-05,4.2.1.5,Mass Gathering Initial Resource Report,first50_reviewed_website_push,active_or_staged_candidate,
58,EMS2026-2-3-2-7-02,JOB-2-3-2-7-02,2.3.2.7,Wearable Defibrillator During CPR,first50_reviewed_website_push,active_or_staged_candidate,
59,EMS2026-4-1-7-2-1-04,JOB-4-1-7-2-1-04,4.1.7.2.1,Nontransporting ALS In Treatment Areas,first50_reviewed_website_push,active_or_staged_candidate,
60,EMS2026-2-2-6-02,JOB-2-2-6-02,2.2.6,Alkali Eye Burn Irrigation,paramedic_next_action_50,active_or_staged_candidate,
61,EMS2026-2-2-1-4-2-04,JOB-2-2-1-4-2-04,2.2.1.4.2,Spinal Restriction In Gunshot Wounds,legacy_locked_priority_superset_100,active_or_staged_candidate,
62,EMS2026-1-2-7-02,JOB-1-2-7-02,1.2.7,Emergency Medical Care System Scope,legacy_locked_priority_superset_100,active_or_staged_candidate,
63,EMS2026-2-3-8-3-05,JOB-2-3-8-3-05,2.3.8.3,Antidote Matching in Toxic Shock,legacy_locked_priority_superset_100,active_or_staged_candidate,
64,EMS2026-4-5-5-01,JOB-4-5-5-01,4.5.5,Equipment Staging Before Access,legacy_locked_priority_superset_100,active_or_staged_candidate,
65,EMS2026-4-5-1-1-04,JOB-4-5-1-1-04,4.5.1.1,High-Angle Rescue Equipment Planning,legacy_locked_priority_superset_100,active_or_staged_candidate,
66,EMS2026-2-2-8-2-03,JOB-2-2-8-2-03,2.2.8.2,Crush Release Preparation,paramedic_next_action_50,active_or_staged_candidate,
67,EMS2026-4-7-4-05,JOB-4-7-4-05,4.7.4,Mobile Integrated Health Medical Direction,legacy_locked_priority_superset_100,active_or_staged_candidate,
68,EMS2026-2-3-7-8-05,JOB-2-3-7-8-05,2.3.7.8,Resuscitative Hysterotomy,legacy_locked_priority_superset_100,active_or_staged_candidate,
69,EMS2026-2-1-2-2-4-04,JOB-2-1-2-2-4-04,2.1.2.2.4,Video Laryngoscopy For Team Performance,legacy_locked_priority_superset_100,active_or_staged_candidate,
70,EMS2026-3-2-1-2-05,JOB-3-2-1-2-05,3.2.1.2,Exempt Review in EMS Research,legacy_locked_priority_superset_100,active_or_staged_candidate,
71,EMS2026-2-4-13-03,JOB-2-4-13-03,2.4.13,Names and Pronouns in Prehospital Care,legacy_locked_priority_superset_100,active_or_staged_candidate,
72,EMS2026-2-3-1-2-02,JOB-2-3-1-2-02,2.3.1.2,Capnography Drop During Ventilation,paramedic_next_action_50,active_or_staged_candidate,
73,EMS2026-3-1-6-08,JOB-3-1-6-08,3.1.6,Equity Monitoring During Implementation,legacy_locked_priority_superset_100,active_or_staged_candidate,
74,EMS2026-2-2-8-1-04,JOB-2-2-8-1-04,2.2.8.1,Traumatic Amputation Stump Care,legacy_locked_priority_superset_100,active_or_staged_candidate,
75,EMS2026-1-1-1-2-2-01,JOB-1-1-1-2-2-01,1.1.1.2.2,QI Versus Discipline For A Process Defect,legacy_locked_priority_superset_100,active_or_staged_candidate,
76,EMS2026-1-5-1-12,JOB-1-5-1-12,1.5.1,Public Reporting Without Misleading,legacy_locked_priority_superset_100,active_or_staged_candidate,
77,EMS2026-2-3-1-6-1-05,JOB-2-3-1-6-1-05,2.3.1.6.1,Pneumothorax During Air Transport,legacy_locked_priority_superset_100,active_or_staged_candidate,
78,EMS2026-2-3-1-3-02,JOB-2-3-1-3-02,2.3.1.3,Ventilatory Support In COPD Exhaustion,paramedic_next_action_50,active_or_staged_candidate,
79,EMS2026-1-3-7-08,JOB-1-3-7-08,1.3.7,"Race, Ethnicity, And EMS Care Differences",legacy_locked_priority_superset_100,active_or_staged_candidate,
80,EMS2026-3-2-1-1-07,JOB-3-2-1-1-07,3.2.1.1,The Common Rule,legacy_locked_priority_superset_100,active_or_staged_candidate,
81,EMS2026-4-6-2-4-02,JOB-4-6-2-4-02,4.6.2.4,Hypothermia Handling Priority,legacy_locked_priority_superset_100,active_or_staged_candidate,
82,EMS2026-2-4-12-1-02,JOB-2-4-12-1-02,2.4.12.1,Lift Assist Refusal Risk,legacy_locked_priority_superset_100,active_or_staged_candidate,
83,EMS2026-1-3-6-08,JOB-1-3-6-08,1.3.6,Recruitment And Systemic Racism,legacy_locked_priority_superset_100,active_or_staged_candidate,
84,EMS2026-2-3-1-4-01,JOB-2-3-1-4-01,2.3.1.4,CPAP For Pulmonary Edema,paramedic_next_action_50,active_or_staged_candidate,
85,EMS2026-4-5-1-5-04,JOB-4-5-1-5-04,4.5.1.5,Medical Advice During Machinery Disentanglement,legacy_locked_priority_superset_100,active_or_staged_candidate,
86,EMS2026-2-2-1-1-04,JOB-2-2-1-1-04,2.2.1.1,Scene Time Versus Hemorrhage Control,legacy_locked_priority_superset_100,active_or_staged_candidate,
87,EMS2026-1-3-2-2-01,JOB-1-3-2-2-01,1.3.2.2,Hybrid Education For A Psychomotor Skill,legacy_locked_priority_superset_100,active_or_staged_candidate,
88,EMS2026-1-1-2-7-06,JOB-1-1-2-7-06,1.1.2.7,Risk Management Applied To Crashes,legacy_locked_priority_superset_100,active_or_staged_candidate,
89,EMS2026-1-3-4-1-1-02,JOB-1-3-4-1-1-02,1.3.4.1.1,Needlestick Exposure First Actions,legacy_locked_priority_superset_100,active_or_staged_candidate,
90,EMS2026-2-3-1-6-2-01,JOB-2-3-1-6-2-01,2.3.1.6.2,Recurrent Tension Pneumothorax,paramedic_next_action_50,active_or_staged_candidate,
91,EMS2026-4-6-2-4-04,JOB-4-6-2-4-04,4.6.2.4,Field Thawing of Frostbite,legacy_locked_priority_superset_100,active_or_staged_candidate,
92,EMS2026-4-1-4-2-05,JOB-4-1-4-2-05,4.1.4.2,Emergency Management Assistance Compact Licensure,legacy_locked_priority_superset_100,active_or_staged_candidate,
93,EMS2026-2-3-13-3-3-02,JOB-2-3-13-3-3-02,2.3.13.3.3,Mild Acute Mountain Sickness,legacy_locked_priority_superset_100,active_or_staged_candidate,
94,EMS2026-1-4-3-4-4-01,JOB-1-4-3-4-4-01,1.4.3.4.4,Health Privacy At A Public Scene,legacy_locked_priority_superset_100,active_or_staged_candidate,
95,EMS2026-2-3-13-4-4-01,JOB-2-3-13-4-4-01,2.3.13.4.4,Nitrogen Narcosis Mechanism,legacy_locked_priority_superset_100,active_or_staged_candidate,
96,EMS2026-2-3-2-6-2-02,JOB-2-3-2-6-2-02,2.3.2.6.2,LVAD Alarm Troubleshooting,paramedic_next_action_50,active_or_staged_candidate,
97,EMS2026-2-3-1-6-2-03,JOB-2-3-1-6-2-03,2.3.1.6.2,Finger Thoracostomy System Requirements,legacy_locked_priority_superset_100,active_or_staged_candidate,
98,EMS2026-1-2-4-2-01,JOB-1-2-4-2-01,1.2.4.2,National EMS Clinician Levels,legacy_locked_priority_superset_100,active_or_staged_candidate,
99,EMS2026-4-1-8-1-3-01,JOB-4-1-8-1-3-01,4.1.8.1.3,Decontamination Before Leaving the Exposure Site,legacy_locked_priority_superset_100,active_or_staged_candidate,
100,EMS2026-2-2-5-1-2-05,JOB-2-2-5-1-2-05,2.2.5.1.2,Reduction Deferred For Analgesia,legacy_locked_priority_superset_100,active_or_staged_candidate,
101,EMS2026-1-5-4-10,JOB-1-5-4-10,1.5.4,FirstNet And Voice Interoperability,legacy_locked_priority_superset_100,active_or_staged_candidate,
102,EMS2026-2-3-5-4-04,JOB-2-3-5-4-04,2.3.5.4,Insulin Pump Hypoglycemia,paramedic_next_action_50,active_or_staged_candidate,
103,EMS2026-4-3-1-07,JOB-4-3-1-07,4.3.1,Emergency Incident Rehabilitation Trigger,legacy_locked_priority_superset_100,active_or_staged_candidate,
104,EMS2026-2-3-12-3-1-04,JOB-2-3-12-3-1-04,2.3.12.3.1,De-Escalation By Room Setup,legacy_locked_priority_superset_100,active_or_staged_candidate,
105,EMS2026-2-3-13-3-1-03,JOB-2-3-13-3-1-03,2.3.13.3.1,Acute Mountain Sickness Recognition,legacy_locked_priority_superset_100,active_or_staged_candidate,
106,EMS2026-1-3-2-6-06,JOB-1-3-2-6-06,1.3.2.6,Remediation Matched To Defect Type,legacy_locked_priority_superset_100,active_or_staged_candidate,
107,EMS2026-2-4-5-6-04,JOB-2-4-5-6-04,2.4.5.6,Technology-Dependent Child Deterioration,legacy_locked_priority_superset_100,active_or_staged_candidate,
108,EMS2026-2-3-5-5-02,JOB-2-3-5-5-02,2.3.5.5,CGM Conflict With EMS Glucose,paramedic_next_action_50,active_or_staged_candidate,
109,EMS2026-4-1-7-3-3-01,JOB-4-1-7-3-3-01,4.1.7.3.3,Dynamic Triage Categories,legacy_locked_priority_superset_100,active_or_staged_candidate,
110,EMS2026-2-1-3-3-3-04,JOB-2-1-3-3-3-04,2.1.3.3.3,Intraosseous Medication Delivery,legacy_locked_priority_superset_100,active_or_staged_candidate,
111,EMS2026-2-3-13-5-1-01,JOB-2-3-13-5-1-01,2.3.13.5.1,Lightning Reverse Triage,legacy_locked_priority_superset_100,active_or_staged_candidate,
112,EMS2026-4-6-2-3-03,JOB-4-6-2-3-03,4.6.2.3,Wilderness Shoulder Reduction,legacy_locked_priority_superset_100,active_or_staged_candidate,
113,EMS2026-2-4-13-05,JOB-2-4-13-05,2.4.13,Clinically Relevant Gender-Affirming History,legacy_locked_priority_superset_100,active_or_staged_candidate,
114,EMS2026-2-3-6-1-2-02,JOB-2-3-6-1-2-02,2.3.6.1.2,Dialysis Fistula Hemorrhage,paramedic_next_action_50,active_or_staged_candidate,
115,EMS2026-4-2-1-5-01,JOB-4-2-1-5-01,4.2.1.5,Mass Gathering Escalation Risk,legacy_locked_priority_superset_100,active_or_staged_candidate,
116,EMS2026-2-1-2-2-3-01,JOB-2-1-2-2-3-01,2.1.2.2.3,Direct Laryngoscopy Blade Technique,legacy_locked_priority_superset_100,active_or_staged_candidate,
117,EMS2026-2-2-5-1-1-03,JOB-2-2-5-1-1-03,2.2.5.1.1,Improvised Splint Construction,legacy_locked_priority_superset_100,active_or_staged_candidate,
118,EMS2026-2-3-11-1-3-04,JOB-2-3-11-1-3-04,2.3.11.1.3,Measles Precautions,legacy_locked_priority_superset_100,active_or_staged_candidate,
119,EMS2026-1-4-4-2-04,JOB-1-4-4-2-04,1.4.4.2,Trauma Overtriage Tradeoff,legacy_locked_priority_superset_100,active_or_staged_candidate,
120,EMS2026-2-3-6-2-03,JOB-2-3-6-2-03,2.3.6.2,Hyperkalemia With ECG Changes,paramedic_next_action_50,active_or_staged_candidate,
121,EMS2026-4-1-3-3-02,JOB-4-1-3-3-02,4.1.3.3,EMS Branch Span Of Control,legacy_locked_priority_superset_100,active_or_staged_candidate,
122,EMS2026-2-3-8-6-05,JOB-2-3-8-6-05,2.3.8.6,Envenomation Destination Planning,legacy_locked_priority_superset_100,active_or_staged_candidate,
123,EMS2026-4-1-8-4-04,JOB-4-1-8-4-04,4.1.8.4,Radiological Contamination and Lifesaving Care,legacy_locked_priority_superset_100,active_or_staged_candidate,
124,EMS2026-4-7-3-05,JOB-4-7-3-05,4.7.3,Point-Of-Care Testing In Mobile Integrated Health,legacy_locked_priority_superset_100,active_or_staged_candidate,
125,EMS2026-3-2-1-2-07,JOB-3-2-1-2-07,3.2.1.2,IRB Review For Emergency Research,legacy_locked_priority_superset_100,active_or_staged_candidate,
126,EMS2026-2-3-7-1-2-02,JOB-2-3-7-1-2-02,2.3.7.1.2,Eclamptic Seizure Priorities,paramedic_next_action_50,active_or_staged_candidate,
127,EMS2026-1-2-7-11,JOB-1-2-7-11,1.2.7,Diversion Rule With Time-Critical Exceptions,legacy_locked_priority_superset_100,active_or_staged_candidate,
128,EMS2026-3-1-4-1-04,JOB-3-1-4-1-04,3.1.4.1,Utstein Cardiac Arrest Dataset,legacy_locked_priority_superset_100,active_or_staged_candidate,
129,EMS2026-3-1-2-1-08,JOB-3-1-2-1-08,3.1.2.1,Nonconveyance Oversight,legacy_locked_priority_superset_100,active_or_staged_candidate,
130,EMS2026-4-4-6-1-05,JOB-4-4-6-1-05,4.4.6.1,Tactical Medical Threat Assessment,legacy_locked_priority_superset_100,active_or_staged_candidate,
131,EMS2026-1-1-2-1-02,JOB-1-1-2-1-02,1.1.2.1,Public Duty Versus Special Duty,legacy_locked_priority_superset_100,active_or_staged_candidate,
132,EMS2026-2-3-7-1-4-02,JOB-2-3-7-1-4-02,2.3.7.1.4,Placenta Previa Exam Avoidance,paramedic_next_action_50,active_or_staged_candidate,
133,EMS2026-1-2-5-6-03,JOB-1-2-5-6-03,1.2.5.6,Interfacility Transport Responsibility,legacy_locked_priority_superset_100,active_or_staged_candidate,
134,EMS2026-4-5-1-2-03,JOB-4-5-1-2-03,4.5.1.2,Confined-Space Atmospheric Testing,legacy_locked_priority_superset_100,active_or_staged_candidate,
135,EMS2026-1-4-6-1-03,JOB-1-4-6-1-03,1.4.6.1,"Emergency Triage, Treat, And Transport Model",legacy_locked_priority_superset_100,active_or_staged_candidate,
136,EMS2026-1-1-2-4-2-03,JOB-1-1-2-4-2-03,1.1.2.4.2,Capacity Defect In A Refusal,legacy_locked_priority_superset_100,active_or_staged_candidate,
137,EMS2026-1-1-2-1-06,JOB-1-1-2-1-06,1.1.2.1,Capacity Versus Competence,legacy_locked_priority_superset_100,active_or_staged_candidate,
138,EMS2026-2-3-7-3-2-02,JOB-2-3-7-3-2-02,2.3.7.3.2,Shoulder Dystocia First Maneuver,paramedic_next_action_50,active_or_staged_candidate,
139,EMS2026-2-4-6-1-05,JOB-2-4-6-1-05,2.4.6.1,Geriatric Trauma Packaging,legacy_locked_priority_superset_100,active_or_staged_candidate,
140,EMS2026-2-3-2-1-3-02,JOB-2-3-2-1-3-02,2.3.2.1.3,STEMI Reperfusion Strategy At The Margin,legacy_locked_priority_superset_100,active_or_staged_candidate,
141,EMS2026-2-3-11-6-2-02,JOB-2-3-11-6-2-02,2.3.11.6.2,Meningococcal Exposure Follow-Up,legacy_locked_priority_superset_100,active_or_staged_candidate,
142,EMS2026-2-1-2-2-1-03,JOB-2-1-2-2-1-03,2.1.2.2.1,Continuous Tube Confirmation,legacy_locked_priority_superset_100,active_or_staged_candidate,
143,EMS2026-2-3-10-2-05,JOB-2-3-10-2-05,2.3.10.2,Septic Shock Perfusion Target,legacy_locked_priority_superset_100,active_or_staged_candidate,
144,EMS2026-2-3-7-3-6-02,JOB-2-3-7-3-6-02,2.3.7.3.6,Neonatal Positive-Pressure Ventilation,paramedic_next_action_50,active_or_staged_candidate,
145,EMS2026-2-3-2-2-2-01,JOB-2-3-2-2-2-01,2.3.2.2.2,Severe Cardiogenic Pulmonary Edema,legacy_locked_priority_superset_100,active_or_staged_candidate,
146,EMS2026-4-1-4-1-03,JOB-4-1-4-1-03,4.1.4.1,Stafford Act Disaster Declaration,legacy_locked_priority_superset_100,active_or_staged_candidate,
147,EMS2026-2-2-1-3-03,JOB-2-2-1-3-03,2.2.1.3,Unstable Pelvis Field Triage,legacy_locked_priority_superset_100,active_or_staged_candidate,
148,EMS2026-1-3-4-4-04,JOB-1-3-4-4-04,1.3.4.4,Immediate Stress Intervention,legacy_locked_priority_superset_100,active_or_staged_candidate,
149,EMS2026-2-2-1-5-05,JOB-2-2-1-5-05,2.2.1.5,Anticoagulants Without Losing Hemorrhage Priorities,legacy_locked_priority_superset_100,active_or_staged_candidate,
150,EMS2026-2-3-8-3-01,JOB-2-3-8-3-01,2.3.8.3,Ventilation Before Naloxone,paramedic_next_action_50,active_or_staged_candidate,
151,EMS2026-1-3-1-1-01,JOB-1-3-1-1-01,1.3.1.1,Scope of Practice Authority,legacy_locked_priority_superset_100,active_or_staged_candidate,
152,EMS2026-1-2-5-8-06,JOB-1-2-5-8-06,1.2.5.8,Burn Transport Airway Before Departure,legacy_locked_priority_superset_100,active_or_staged_candidate,
153,EMS2026-2-1-3-2-02,JOB-2-1-3-2-02,2.1.3.2,Anaphylactic Shock Without Rash,legacy_locked_priority_superset_100,active_or_staged_candidate,
154,EMS2026-2-4-9-1-05,JOB-2-4-9-1-05,2.4.9.1,Quarantine And Family Accompaniment,legacy_locked_priority_superset_100,active_or_staged_candidate,
155,EMS2026-2-3-10-2-01,JOB-2-3-10-2-01,2.3.10.2,Prehospital Antibiotics in Septic Shock,legacy_locked_priority_superset_100,active_or_staged_candidate,
156,EMS2026-2-3-8-2-5-03,JOB-2-3-8-2-5-03,2.3.8.2.5,Atropine Endpoint In Organophosphate Poisoning,paramedic_next_action_50,active_or_staged_candidate,
157,EMS2026-2-4-5-1-04,JOB-2-4-5-1-04,2.4.5.1,Pediatric Airway Program Threshold,legacy_locked_priority_superset_100,active_or_staged_candidate,
158,EMS2026-3-1-2-3-06,JOB-3-1-2-3-06,3.1.2.3,Why EMS Adverse Events Are Missed,legacy_locked_priority_superset_100,active_or_staged_candidate,
159,EMS2026-1-4-5-05,JOB-1-4-5-05,1.4.5,System Status Management Tradeoff,legacy_locked_priority_superset_100,active_or_staged_candidate,
160,EMS2026-2-3-7-2-2-02,JOB-2-3-7-2-2-02,2.3.7.2.2,Temporizing High-Risk Delivery,legacy_locked_priority_superset_100,active_or_staged_candidate,
161,EMS2026-1-5-3-05,JOB-1-5-3-05,1.5.3,Repeating Risk Messages,legacy_locked_priority_superset_100,active_or_staged_candidate,
162,EMS2026-2-3-8-5-1-02,JOB-2-3-8-5-1-02,2.3.8.5.1,Toxicologic Seizure Treatment,paramedic_next_action_50,active_or_staged_candidate,
163,EMS2026-2-3-1-3-01,JOB-2-3-1-3-01,2.3.1.3,Oxygen Targeting Instead Of Comfort Oxygen,legacy_locked_priority_superset_100,active_or_staged_candidate,
164,EMS2026-3-2-3-2-07,JOB-3-2-3-2-07,3.2.3.2,Sensitivity And Specificity,legacy_locked_priority_superset_100,active_or_staged_candidate,
165,EMS2026-1-5-3-08,JOB-1-5-3-08,1.5.3,Avoiding Overreassurance,legacy_locked_priority_superset_100,active_or_staged_candidate,
166,EMS2026-1-3-1-1-07,JOB-1-3-1-1-07,1.3.1.1,EMS Compact Authority,legacy_locked_priority_superset_100,active_or_staged_candidate,
167,EMS2026-2-3-6-2-01,JOB-2-3-6-2-01,2.3.6.2,Missed Dialysis With Wide-Complex Bradycardia,legacy_locked_priority_superset_100,active_or_staged_candidate,
168,EMS2026-2-3-10-1-03,JOB-2-3-10-1-03,2.3.10.1,Recognizing Prehospital Septic Shock,paramedic_next_action_50,active_or_staged_candidate,
169,EMS2026-1-4-6-2-03,JOB-1-4-6-2-03,1.4.6.2,MIH Treatment-in-Place Design,legacy_locked_priority_superset_100,active_or_staged_candidate,
170,EMS2026-1-5-1-09,JOB-1-5-1-09,1.5.1,Risk Communication Without Repeating Rumor,legacy_locked_priority_superset_100,active_or_staged_candidate,
