content_id,question_count,question_ids,review_orders,titles,source_labels,topics,topic_groups
1.2.5.9.1,1,EMS2026-1-2-5-9-1-02,332,Rotor-Wing Transport Utilization Decision,primary_doctrine_uncovered100,Rotor wing,EMS SYSTEMS
1.2.5.9.2,1,EMS2026-1-2-5-9-2-02,308,Fixed-Wing Interfacility Evacuation,primary_doctrine_uncovered100,Fixed wing,EMS SYSTEMS
1.2.6,1,EMS2026-1-2-6-03,381,Communications System Mission,primary_doctrine_uncovered100,Communications Systems,EMS SYSTEMS
1.2.7,2,EMS2026-1-2-7-02|EMS2026-1-2-7-11,62|127,Emergency Medical Care System Scope|Diversion Rule With Time-Critical Exceptions,legacy_locked_priority_superset_100|legacy_locked_priority_superset_100,Regionalization of Care,
1.3.1.1,2,EMS2026-1-3-1-1-01|EMS2026-1-3-1-1-07,151|166,Scope of Practice Authority|EMS Compact Authority,legacy_locked_priority_superset_100|legacy_locked_priority_superset_100,State vs. national,
1.3.1.2,1,EMS2026-1-3-1-2-02,366,Clinician Level And Education Scope,primary_doctrine_uncovered100,Levels of EMS clinicians,EMS PERSONNEL
1.3.1.3,2,EMS2026-1-3-1-3-02|EMS2026-1-3-1-3-05,357|400,Competence Beyond Skill Checkoffs|Local Credentialing Beyond Psychomotor Skills,primary_doctrine_uncovered100|primary_doctrine_uncovered100,Roles and psychomotor skills,EMS PERSONNEL
1.3.2.1,1,EMS2026-1-3-2-1-02,370,Adult Learner Relevance,primary_doctrine_uncovered100,Theories of adult learning,EMS PERSONNEL
1.3.2.2,1,EMS2026-1-3-2-2-01,87,Hybrid Education For A Psychomotor Skill,legacy_locked_priority_superset_100,Education delivery models,
1.3.2.3,2,EMS2026-1-3-2-3-02|EMS2026-1-3-2-3-06,302|330,National EMS Core Content Versus Related National Documents|Medical Director Education Approval Standard,primary_doctrine_uncovered100|primary_doctrine_uncovered100,National EMS education standards,EMS PERSONNEL
1.3.2.6,1,EMS2026-1-3-2-6-06,106,Remediation Matched To Defect Type,legacy_locked_priority_superset_100,Remediation and workforce re-entry,
1.3.4.1.1,4,EMS2026-1-3-4-1-1-07|EMS2026-1-3-4-1-1-06|EMS2026-1-3-4-1-1-02|EMS2026-1-3-4-1-1-04,41|46|89|364,Tuberculosis Exposure Program|NFPA Department Physician Role|Needlestick Exposure First Actions|Ryan White Act Exposure Notification,first50_reviewed_website_push|first50_reviewed_website_push|legacy_locked_priority_superset_100|primary_doctrine_uncovered100,"Regulations and standards (e.g., National Fire Protection Association [NFPA] 1582, Ryan White Act, Occupational Safety and Health Administration [OSHA] requirements, National Institute for Occupational Safety and Health [NIOSH])",EMS PERSONNEL|EMS Personnel
1.3.4.1.2,1,EMS2026-1-3-4-1-2-01,354,Ergonomic Risk In EMS,primary_doctrine_uncovered100,Ergonomic factors,EMS PERSONNEL
1.3.4.3,2,EMS2026-1-3-4-3-03|EMS2026-1-3-4-3-08,177|391,Sleepiness Scale Interpretation|Emergency Medical Services Fatigue Risk Management,legacy_locked_priority_superset_100|primary_doctrine_uncovered100,Disordered sleep and work schedule,EMS PERSONNEL
1.3.4.4,1,EMS2026-1-3-4-4-04,148,Immediate Stress Intervention,legacy_locked_priority_superset_100,Prevention and intervention for psychologically stressful events,
1.3.6,2,EMS2026-1-3-6-08|EMS2026-1-3-6-10,83|203,Recruitment And Systemic Racism|Retention Beyond Pay,legacy_locked_priority_superset_100|second50_qi_review,Recruitment and Retention,
1.3.7,2,EMS2026-1-3-7-08|EMS2026-1-3-7-04,79|197,"Race, Ethnicity, And EMS Care Differences|Workforce Equity Intervention Package",legacy_locked_priority_superset_100|second50_qi_review,Diverse and Inclusive Workforce,
1.4.2.1,1,EMS2026-1-4-2-1-04,379,Marginal Cost At Capacity,primary_doctrine_uncovered100,Allocation of resources,EMS SYSTEM MANAGEMENT
1.4.2.3,1,EMS2026-1-4-2-3-06,350,Treat-In-Place Break-Even Analysis,primary_doctrine_uncovered100,Reimbursement,EMS SYSTEM MANAGEMENT
1.4.3.1,1,EMS2026-1-4-3-1-05,295,BLS Oversight When State Authority Is Silent,uncovered50_v3_source_hardened,Working with government and public health agencies,EMS SYSTEM MANAGEMENT
1.4.3.4.4,1,EMS2026-1-4-3-4-4-01,94,Health Privacy At A Public Scene,legacy_locked_priority_superset_100,Health Insurance Portability and Accountability Act (HIPAA),
1.4.4.1,2,EMS2026-1-4-4-1-04|EMS2026-1-4-4-1-03,39|191,Specialty Designation Authority|Certified Stroke Center With Operational Lapses,first50_reviewed_website_push|second50_qi_review,Specialty hospital designations and patient transport,EMS System Management
1.4.4.2,3,EMS2026-1-4-4-2-04|EMS2026-1-4-4-2-03|EMS2026-1-4-4-2-07,119|172|378,Trauma Overtriage Tradeoff|Field Activation As Simultaneous Processing|Mass-Casualty Destination Decisions,legacy_locked_priority_superset_100|legacy_locked_priority_superset_100|primary_doctrine_uncovered100,Field triage to appropriate destination,EMS SYSTEM MANAGEMENT
1.4.4.3,2,EMS2026-1-4-4-3-04|EMS2026-1-4-4-3-01,7|31,Public Access Defibrillation Law Variation|Community Intervention For CARES Outcomes,first50_reviewed_website_push|first50_reviewed_website_push,Public access defibrillation (PAD),EMS System Management
1.4.4.4,1,EMS2026-1-4-4-4-04,245,Diversion Policy With Regional Harm Signal,uncovered50_v3_source_hardened,Hospital diversion and bypass,EMS SYSTEM MANAGEMENT
1.4.4.5,2,EMS2026-1-4-4-5-06|EMS2026-1-4-4-5-01,8|32,Coalition Coordination During Surge|Public Health Functions In EMS Collaboration,first50_reviewed_website_push|first50_reviewed_website_push,"Integration of EMS, community public resources, mental health resources, and social services",EMS System Management
1.4.5,1,EMS2026-1-4-5-05,159,System Status Management Tradeoff,legacy_locked_priority_superset_100,System Status Management,
1.4.6.1,2,EMS2026-1-4-6-1-02|EMS2026-1-4-6-1-03,43|135,"Alternative Destination Legal Check|Emergency Triage, Treat, And Transport Model",first50_reviewed_website_push|legacy_locked_priority_superset_100,Alternative destinations,EMS System Management
1.4.6.2,1,EMS2026-1-4-6-2-03,169,MIH Treatment-in-Place Design,legacy_locked_priority_superset_100,Treatment in place,
1.4.7,2,EMS2026-1-4-7-07|EMS2026-1-4-7-02,266|373,Choosing The MIH Model For Senior Housing|Telephone Advice As Navigation,uncovered50_v3_source_hardened|primary_doctrine_uncovered100,Navigation to Healthcare Resources,EMS SYSTEM MANAGEMENT
1.4.8,1,EMS2026-1-4-8-09,385,Advocacy Framed For The Audience,primary_doctrine_uncovered100,Advocacy for EMS Systems,EMS SYSTEM MANAGEMENT
1.5.1,3,EMS2026-1-5-1-12|EMS2026-1-5-1-09|EMS2026-1-5-1-10,76|170|195,Public Reporting Without Misleading|Risk Communication Without Repeating Rumor|Patient Condition Language,legacy_locked_priority_superset_100|legacy_locked_priority_superset_100|second50_qi_review,Public information and interacting with the media,
1.5.2,1,EMS2026-1-5-2-10,215,Special Event Communications Matrix,second50_qi_review,Crisis communication,
1.5.3,3,EMS2026-1-5-3-01|EMS2026-1-5-3-05|EMS2026-1-5-3-08,21|161|165,Emergency Risk Communication Statement|Repeating Risk Messages|Avoiding Overreassurance,first50_reviewed_website_push|legacy_locked_priority_superset_100|legacy_locked_priority_superset_100,Emergency risk communication,Crisis and Emergency Risk Communication
1.5.4,2,EMS2026-1-5-4-10|EMS2026-1-5-4-04,101|219,FirstNet And Voice Interoperability|PSAP Quality Beyond Answer Time,legacy_locked_priority_superset_100|second50_qi_review,Communication lifecycle,
2.1.1.1,1,EMS2026-2-1-1-1-04,290,Compression Pauses On Defibrillator Review,uncovered50_v3_source_hardened,General management and field resuscitation,RESUSCITATION
2.1.1.2,2,EMS2026-2-1-1-2-06|EMS2026-2-1-1-2-02,181|214,Refractory Arrest Transport Capability|Exceptional CPR Transport,second50_qi_review|second50_qi_review,Transport decisions,
2.1.1.3,1,EMS2026-2-1-1-3-04,277,Post-ROSC Cold Saline Trap,uncovered50_v3_source_hardened,Post-resuscitation care,RESUSCITATION
2.1.1.4,1,EMS2026-2-1-1-4-04,183,TOR Family Acceptability,second50_qi_review,Termination of resuscitation in the field,
2.1.1.5,2,EMS2026-2-1-1-5-04|EMS2026-2-1-1-5-02,298|326,Mechanical CPR At A Staffed Arrest|Mechanical CPR Deployment Decision,uncovered50_v3_source_hardened|primary_doctrine_uncovered100,Mechanical CPR and real-time feedback devices,RESUSCITATION
2.1.1.6,2,EMS2026-2-1-1-6-03|EMS2026-2-1-1-6-01,184|311,POLST As Actionable Orders|Withholding Resuscitation With Two Independent Grounds,second50_qi_review|primary_doctrine_uncovered100,Withholding resuscitation (including determination of death and applying advanced directives),RESUSCITATION
2.1.2.1.2,2,EMS2026-2-1-2-1-2-04|EMS2026-2-1-2-1-2-03,280|315,Oxygen Saturation Is Not Ventilation|Airway Adjunct During Bag-Mask Ventilation,uncovered50_v3_source_hardened|primary_doctrine_uncovered100,Oropharyngeal and nasopharyngeal airways,RESUSCITATION
2.1.2.1.3,2,EMS2026-2-1-2-1-3-03|EMS2026-2-1-2-1-3-04,6|220,Correcting A Failing BVM Seal|BVM Complication And Cricoid Pressure,paramedic_next_action_50|second50_qi_review,Bag-valve-mask ventilation,RESUSCITATION
2.1.2.2.1,2,EMS2026-2-1-2-2-1-03|EMS2026-2-1-2-2-1-05,142|339,Continuous Tube Confirmation|Handoff After Supraglottic Airway Placement,legacy_locked_priority_superset_100|primary_doctrine_uncovered100,Devices for securing airway,RESUSCITATION
2.1.2.2.2,1,EMS2026-2-1-2-2-2-04,281,Airway Quality Measures Beyond Success,uncovered50_v3_source_hardened,Airway management adjuncts,RESUSCITATION
2.1.2.2.3,2,EMS2026-2-1-2-2-3-01|EMS2026-2-1-2-2-3-05,116|314,Direct Laryngoscopy Blade Technique|Airway Dashboard Attempt Definitions,legacy_locked_priority_superset_100|primary_doctrine_uncovered100,Direct laryngoscopy,RESUSCITATION
2.1.2.2.4,1,EMS2026-2-1-2-2-4-04,69,Video Laryngoscopy For Team Performance,legacy_locked_priority_superset_100,Video laryngoscopy,
2.1.2.2.5,1,EMS2026-2-1-2-2-5-04,272,Sedation-Only Intubation Proposal,uncovered50_v3_source_hardened,Drug assisted airway management,RESUSCITATION
2.1.2.2.6,2,EMS2026-2-1-2-2-6-03|EMS2026-2-1-2-2-6-01,12|207,Airway Choice After CPR Pauses|Supraglottic Airway System Role,paramedic_next_action_50|second50_qi_review,Supraglottic/extraglottic airways,RESUSCITATION
2.1.2.2.7,1,EMS2026-2-1-2-2-7-04,299,Maintaining Nasotracheal Intubation In Scope,uncovered50_v3_source_hardened,Nasal intubation,RESUSCITATION
2.1.2.2.8,1,EMS2026-2-1-2-2-8-01,44,Prehospital Surgical Airway Indication,first50_reviewed_website_push,Cricothyroidotomy,Resuscitation
2.1.2.3,2,EMS2026-2-1-2-3-04|EMS2026-2-1-2-3-03,292|383,Low-Light Airway Failure As Readiness Failure|Trapped Upright Airway Priority,uncovered50_v3_source_hardened|primary_doctrine_uncovered100,"Airway management in challenging conditions (e.g., low light, atypical position)",RESUSCITATION
2.1.2.4,1,EMS2026-2-1-2-4-01,2,Bariatric Airway Reserve,first50_reviewed_website_push,Airway management in bariatric patients,Resuscitation
2.1.2.5,1,EMS2026-2-1-2-5-03,268,Ventilating A Tracheostomy Patient From Above,uncovered50_v3_source_hardened,Tracheostomy complications,RESUSCITATION
2.1.2.6,2,EMS2026-2-1-2-6-03|EMS2026-2-1-2-6-02,18|261,Post-Tonsillectomy Airway Priority|Controlled Pressure For Post-Tonsillectomy Bleeding,paramedic_next_action_50|uncovered50_v3_source_hardened,Control of post-tonsillectomy hemorrhage,RESUSCITATION
2.1.3.1,1,EMS2026-2-1-3-1-03,24,Compensated Shock With Bleeding,paramedic_next_action_50,Recognition of shock and hypotension,RESUSCITATION
2.1.3.2,2,EMS2026-2-1-3-2-03|EMS2026-2-1-3-2-02,30|153,Obstructive Shock From Chest Trauma|Anaphylactic Shock Without Rash,paramedic_next_action_50|legacy_locked_priority_superset_100,Management of hypotension and shock,RESUSCITATION
2.1.3.3.3,4,EMS2026-2-1-3-3-3-02|EMS2026-2-1-3-3-3-04|EMS2026-2-1-3-3-3-05|EMS2026-2-1-3-3-3-03,36|110|179|342,Pediatric IO Site With Tibial Fracture|Intraosseous Medication Delivery|Intraosseous Infusion Flow|Pediatric IO After Failed IV Attempts,paramedic_next_action_50|legacy_locked_priority_superset_100|legacy_locked_priority_superset_100|primary_doctrine_uncovered100,Placement of intraosseous lines (adult and pediatric),RESUSCITATION
2.1.3.4,1,EMS2026-2-1-3-4-01,171,Blood Product Program Readiness,legacy_locked_priority_superset_100,Blood product transfusion,
2.1.4,1,EMS2026-2-1-4-03,42,Airway First In Altered Mental Status,paramedic_next_action_50,Altered Mental Status,RESUSCITATION
2.2.1.1,2,EMS2026-2-2-1-1-02|EMS2026-2-2-1-1-04,5|86,Penetrating Trauma Fluid Timing|Scene Time Versus Hemorrhage Control,first50_reviewed_website_push|legacy_locked_priority_superset_100,Goal of minimizing scene time for severe trauma,Trauma
2.2.1.2,2,EMS2026-2-2-1-2-05|EMS2026-2-2-1-2-03,15|48,Permissive Hypotension Boundary|Trauma Tension Pneumothorax Priority,first50_reviewed_website_push|paramedic_next_action_50,Management and resuscitation of multi-trauma patient,TRAUMA|Trauma
2.2.1.3,1,EMS2026-2-2-1-3-03,147,Unstable Pelvis Field Triage,legacy_locked_priority_superset_100,Field trauma triage criteria,
2.2.1.4.1,1,EMS2026-2-2-1-4-1-03,271,Motorcycle Mechanism At The Triage Margin,uncovered50_v3_source_hardened,Motor vehicle collisions,TRAUMA
2.2.1.4.2,1,EMS2026-2-2-1-4-2-04,61,Spinal Restriction In Gunshot Wounds,legacy_locked_priority_superset_100,Gunshot wounds and ballistics,
2.2.1.5,2,EMS2026-2-2-1-5-03|EMS2026-2-2-1-5-05,54|149,Junctional Hemorrhage Packing|Anticoagulants Without Losing Hemorrhage Priorities,paramedic_next_action_50|legacy_locked_priority_superset_100,Control of life-threatening hemorrhage,TRAUMA
2.2.1.6,1,EMS2026-2-2-1-6-01,231,Open Pneumothorax Dressing Choice,second50_qi_review,Wound care management,
2.2.2.1,1,EMS2026-2-2-2-1-05,253,Finger Thoracostomy Program Boundaries,uncovered50_v3_source_hardened,"Thoracostomy (including needle, simple, or tube)",TRAUMA
2.2.3.1,1,EMS2026-2-2-3-1-01,193,Spinal Motion Restriction Indication,second50_qi_review,Spinal motion restriction,
2.2.3.2,1,EMS2026-2-2-3-2-04,256,Active Extrication Boundary For Spinal Motion Devices,uncovered50_v3_source_hardened,Application of backboard as extrication device,TRAUMA
2.2.4.1,1,EMS2026-2-2-4-1-02,335,Burn Eschar Monitoring,primary_doctrine_uncovered100,Escharotomy,TRAUMA
2.2.5.1.1,1,EMS2026-2-2-5-1-1-03,117,Improvised Splint Construction,legacy_locked_priority_superset_100,"Splinting, including use of nontraditional materials",
2.2.5.1.2,1,EMS2026-2-2-5-1-2-05,100,Reduction Deferred For Analgesia,legacy_locked_priority_superset_100,Joint reduction without anesthetics,
2.2.5.1.3,2,EMS2026-2-2-5-1-3-04|EMS2026-2-2-5-1-3-05,208|217,Femoral Shaft Fracture Splint Choice|Femoral Fracture Protocol Update,second50_qi_review|second50_qi_review,Application of traction devices,
2.2.5.1.4,2,EMS2026-2-2-5-1-4-05|EMS2026-2-2-5-1-4-02,382|390,Open Fracture Antibiotics After Stabilization|Severe Open Fracture Antibiotic Coverage,primary_doctrine_uncovered100|primary_doctrine_uncovered100,Administration of antibiotics,TRAUMA
2.2.6,2,EMS2026-2-2-6-02|EMS2026-2-2-6-05,60|398,Alkali Eye Burn Irrigation|Protruding Globe Foreign Body Next Action,paramedic_next_action_50|primary_doctrine_uncovered100,Facial and Ocular Trauma,TRAUMA
2.2.7.1,1,EMS2026-2-2-7-1-03,14,Severe TBI Airway Quality Dependency,first50_reviewed_website_push,Severe head injury management,Trauma
2.2.7.2,1,EMS2026-2-2-7-2-02,316,Concussion Symptom Pattern,primary_doctrine_uncovered100,Concussion management,TRAUMA
2.2.8.1,1,EMS2026-2-2-8-1-04,74,Traumatic Amputation Stump Care,legacy_locked_priority_superset_100,Field limb amputation,
2.2.8.2,2,EMS2026-2-2-8-2-03|EMS2026-2-2-8-2-02,66|340,Crush Release Preparation|Crush Syndrome Risk Estimation,paramedic_next_action_50|primary_doctrine_uncovered100,Crush injuries,TRAUMA
2.3.1.1,1,EMS2026-2-3-1-1-03,34,Dyspnea Anchoring Trap,first50_reviewed_website_push,Determination of causes,Medical Emergencies
2.3.1.2,3,EMS2026-2-3-1-2-04|EMS2026-2-3-1-2-02|EMS2026-2-3-1-2-05,52|72|185,Sepsis Low End-Tidal Carbon Dioxide Response|Capnography Drop During Ventilation|Capnography For Ventilation Monitoring,first50_reviewed_website_push|paramedic_next_action_50|second50_qi_review,Use of capnometry and capnography waveforms in diagnosis and management,MEDICAL EMERGENCIES|Medical Emergencies
2.3.1.3,2,EMS2026-2-3-1-3-02|EMS2026-2-3-1-3-01,78|163,Ventilatory Support In COPD Exhaustion|Oxygen Targeting Instead Of Comfort Oxygen,paramedic_next_action_50|legacy_locked_priority_superset_100,Management of respiratory distress or shortness of breath,MEDICAL EMERGENCIES
2.3.1.4,1,EMS2026-2-3-1-4-01,84,CPAP For Pulmonary Edema,paramedic_next_action_50,Non-invasive positive pressure ventilation,MEDICAL EMERGENCIES
2.3.1.5,1,EMS2026-2-3-1-5-01,377,Portable Ventilator Indication,primary_doctrine_uncovered100,Portable ventilator management,MEDICAL EMERGENCIES
2.3.1.6.1,1,EMS2026-2-3-1-6-1-05,77,Pneumothorax During Air Transport,legacy_locked_priority_superset_100,Clinical diagnosis,
2.3.1.6.2,2,EMS2026-2-3-1-6-2-01|EMS2026-2-3-1-6-2-03,90|97,Recurrent Tension Pneumothorax|Finger Thoracostomy System Requirements,paramedic_next_action_50|legacy_locked_priority_superset_100,Management and related devices,MEDICAL EMERGENCIES
2.3.10.1,2,EMS2026-2-3-10-1-03|EMS2026-2-3-10-1-02,168|345,Recognizing Prehospital Septic Shock|Septic Shock Mixed Physiology,paramedic_next_action_50|primary_doctrine_uncovered100,Early recognition,MEDICAL EMERGENCIES
2.3.10.2,3,EMS2026-2-3-10-2-05|EMS2026-2-3-10-2-01|EMS2026-2-3-10-2-03,143|155|174,Septic Shock Perfusion Target|Prehospital Antibiotics in Septic Shock|Oxygenation In Septic Shock,legacy_locked_priority_superset_100|legacy_locked_priority_superset_100|paramedic_next_action_50,"Management (e.g., care bundles)",MEDICAL EMERGENCIES
2.3.11.1.1,1,EMS2026-2-3-11-1-1-02,22,Bloodborne Exposure Route,first50_reviewed_website_push,"Contact (e.g., Norovirus, MRSA, Hep B, C)",Medical Emergencies
2.3.11.1.2,1,EMS2026-2-3-11-1-2-01,334,Droplet Precaution Boundary,primary_doctrine_uncovered100,"Droplet (e.g., Influenza, mumps, meningococcal)",MEDICAL EMERGENCIES
2.3.11.1.3,2,EMS2026-2-3-11-1-3-04|EMS2026-2-3-11-1-3-02,118|180,Measles Precautions|Tuberculosis Airborne Precautions,legacy_locked_priority_superset_100|paramedic_next_action_50,"Airborne (e.g., measles, COVID-19, varicella, tuberculosis)",MEDICAL EMERGENCIES
2.3.11.2,1,EMS2026-2-3-11-2-02,322,MDRO Transport Precaution Category,primary_doctrine_uncovered100,Multi-Drug-Resistant Organisms (MDROs),MEDICAL EMERGENCIES
2.3.11.3.1,1,EMS2026-2-3-11-3-1-02,11,Stable Returned Traveler With Suspected VHF PPE,first50_reviewed_website_push,Viral hemorrhagic fevers,Medical Emergencies
2.3.11.3.2,1,EMS2026-2-3-11-3-2-01,346,Single Suspected Smallpox Case,primary_doctrine_uncovered100,Smallpox,MEDICAL EMERGENCIES
2.3.11.3.3,1,EMS2026-2-3-11-3-3-01,305,Pneumonic Plague Recognition,primary_doctrine_uncovered100,Plague,MEDICAL EMERGENCIES
2.3.11.3.4,2,EMS2026-2-3-11-3-4-02|EMS2026-2-3-11-3-4-01,300|307,Suspected MPox Source Control|Mpox Lesion Suspicion,paramedic_next_action_50|primary_doctrine_uncovered100,MPox,MEDICAL EMERGENCIES
2.3.11.4.1,1,EMS2026-2-3-11-4-1-01,376,Avian Influenza Exposure Context,primary_doctrine_uncovered100,"Novel respiratory viruses (e.g., H5N1, MERS, COVID-19)",MEDICAL EMERGENCIES
2.3.11.4.2,1,EMS2026-2-3-11-4-2-02,363,Pandemic Threat Transition,primary_doctrine_uncovered100,Pandemics,MEDICAL EMERGENCIES
2.3.11.5.2,1,EMS2026-2-3-11-5-2-02,248,Task-Based Personal Protective Equipment,uncovered50_v3_source_hardened,Standard precautions,MEDICAL EMERGENCIES
2.3.11.5.4.4,1,EMS2026-2-3-11-5-4-4-01,186,Early Infectious-Disease Notification,paramedic_next_action_50,Alerting public health/receiving facility,MEDICAL EMERGENCIES
2.3.11.6.1,1,EMS2026-2-3-11-6-1-05,209,Tuberculosis Postexposure Testing Window,second50_qi_review,"Health monitoring, post-exposure prophylaxis, and testing",
