question_number,pilot_id,core_content_code,correct_answer,length_complexity_flag,option_architecture_flags,option_a_words,option_a_chars,option_a_complexity,option_b_words,option_b_chars,option_b_complexity,option_c_words,option_c_chars,option_c_complexity,option_d_words,option_d_chars,option_d_complexity
83,WEBX100-083,1.5.4,C,key_unique_longest_by_words;key_unique_longest_by_chars;key_unique_most_complex,key_unique_longest_by_words;key_unique_longest_by_chars;key_unique_most_complex,13,82,15,15,124,21,16,134,28,13,107,18
84,WEBX100-084,2.1.2.1.3,D,key_unique_longest_by_chars;key_unique_most_complex,key_unique_longest_by_chars;key_unique_most_complex,19,130,23,18,122,20,18,128,25,17,143,28
85,WEBX100-085,4.7.5,A,,,11,90,14,14,101,22,12,99,17,10,94,15
86,WEBX100-086,2.3.8.4,B,key_unique_longest_by_words;key_unique_longest_by_chars;key_unique_most_complex,key_unique_longest_by_words;key_unique_longest_by_chars;key_unique_most_complex,13,83,16,16,113,20,9,66,9,13,94,16
87,WEBX100-087,1.1.1.2.1,C,key_unique_longest_by_words;key_unique_longest_by_chars;key_unique_most_complex,key_unique_longest_by_words;key_unique_longest_by_chars;key_unique_most_complex,11,95,17,14,102,21,15,113,22,9,63,9
88,WEBX100-088,3.2.1.5,D,key_unique_longest_by_words;key_unique_longest_by_chars;key_unique_most_complex,key_unique_longest_by_words;key_unique_longest_by_chars;key_unique_most_complex,14,100,17,10,81,16,12,88,15,15,131,30
89,WEBX100-089,1.1.2.3,A,,,14,94,16,12,61,14,13,91,16,14,108,20
90,WEBX100-090,2.3.2.2.1,B,,,17,128,25,17,123,25,15,110,20,14,94,20
91,WEBX100-091,1.1.2.2,C,,,17,104,20,14,130,28,11,123,25,11,83,17
92,WEBX100-092,2.3.7.6,D,key_unique_longest_by_words;key_unique_longest_by_chars,key_unique_longest_by_words;key_unique_longest_by_chars,10,72,12,13,90,20,10,74,14,16,98,18
93,WEBX100-093,2.2.1.6,A,key_unique_longest_by_words;key_unique_longest_by_chars;key_unique_most_complex,key_unique_longest_by_words;key_unique_longest_by_chars;key_unique_most_complex,23,153,31,19,132,27,21,148,29,19,131,22
94,WEBX100-094,3.2.2,B,,,12,84,21,12,85,18,12,92,21,8,64,12
95,WEBX100-095,4.1.1.1,C,,,12,130,24,13,110,24,13,105,24,13,113,24
96,WEBX100-096,3.2.4.4,D,,,9,76,16,9,78,16,7,64,12,6,53,11
97,WEBX100-097,4.7.4,A,key_unique_longest_by_chars,key_unique_longest_by_chars,15,129,21,16,112,22,18,126,26,17,109,18
98,WEBX100-098,1.2.5.12,B,key_unique_longest_by_words;key_unique_longest_by_chars;key_unique_most_complex,key_unique_longest_by_words;key_unique_longest_by_chars;key_unique_most_complex,15,132,24,22,150,36,20,137,26,17,135,20
99,WEBX100-099,1.1.1.3,C,key_unique_most_complex,key_unique_most_complex,16,110,19,13,100,16,12,101,23,18,117,21
100,WEBX100-100,1.1.1.3,D,key_unique_longest_by_words,key_unique_longest_by_words,11,75,13,11,91,16,10,84,15,13,89,16
