question_number,pilot_id,core_content_code,title,correct_answer,option_letter,option_text,heuristic_authenticity_score,deterministic_flags,nearby_correct_scenario_required,nearby_correct_scenario_note,temptation_note,audit_prompt
55,WEBX100-055,2.3.1.2,Capnography For Ventilation Monitoring,C,A,"Pulse oximetry is normal, so ventilation is adequate.",2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
55,WEBX100-055,2.3.1.2,Capnography For Ventilation Monitoring,C,B,"Capnography is useful only after endotracheal intubation, not during spontaneous breathing.",2,borderline_absolute_term;no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
55,WEBX100-055,2.3.1.2,Capnography For Ventilation Monitoring,C,D,End-tidal carbon dioxide trends are uninterpretable in EMS transport unless arterial blood gases are available.,2,,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
56,WEBX100-056,2.3.2.6.1,IABP Transport Precheck,D,A,"Confirm receiving-bed assignment only, because device checks are the referral hospital's responsibility.",2,borderline_absolute_term;no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
56,WEBX100-056,2.3.2.6.1,IABP Transport Precheck,D,B,"Pause the balloon during loading to prevent limb ischemia, then restart after arrival.",2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
56,WEBX100-056,2.3.2.6.1,IABP Transport Precheck,D,C,Disconnect first so the team can identify problems using the transport pump alarms.,2,,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
57,WEBX100-057,1.1.1.2.3,Provider-Initiated Nontransport Oversight,A,B,Announce the option and let experienced crews decide because field clinicians know local patients best.,2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
57,WEBX100-057,1.1.1.2.3,Provider-Initiated Nontransport Oversight,A,C,"Allow nontransport only when the patient signs a refusal form, with no separate training or review.",2,borderline_absolute_term,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
57,WEBX100-057,1.1.1.2.3,Provider-Initiated Nontransport Oversight,A,D,Ban all provider-initiated nontransport because EMS cannot ever determine medical necessity in the field.,1,multiple_absolute_terms;no_real_action_term_info;brittle_absolute_without_boundary,yes,,,Needs expert check: make the nearby-correct scenario explicit or rewrite closer to the key.
58,WEBX100-058,2.3.7.3.4,Uterine Atony Recognition,B,A,"Uterine inversion, because the uterus is usually enlarged and boggy.",2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
58,WEBX100-058,2.3.7.3.4,Uterine Atony Recognition,B,C,"Placenta accreta, because it is the most common cause of primary postpartum hemorrhage.",2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
58,WEBX100-058,2.3.7.3.4,Uterine Atony Recognition,B,D,"Vaginal laceration, because uterine tone is irrelevant to postpartum bleeding.",2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
59,WEBX100-059,4.7.6.2,In-Home MIH With Transport Backup,C,A,Transport to the emergency department because in-home mobile integrated health evaluations should not affect disposition.,2,,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
59,WEBX100-059,4.7.6.2,In-Home MIH With Transport Backup,C,B,Leave the patient at home without scheduled follow-up because the program goal is reducing ambulance use.,2,,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
59,WEBX100-059,4.7.6.2,In-Home MIH With Transport Backup,C,D,Send the patient to urgent care by private vehicle because mobile integrated health should avoid longitudinal coordination.,2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
60,WEBX100-060,1.4.4.1,Certified Stroke Center With Operational Lapses,C,A,"Keep the hospital in the stroke destination tier while requesting updated after-hours coverage data from the certifying body, without changing routing yet.",2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
60,WEBX100-060,1.4.4.1,Certified Stroke Center With Operational Lapses,C,B,Temporarily route around the hospital by internal EMS memo while collecting data for the next scheduled state designation cycle.,2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
60,WEBX100-060,1.4.4.1,Certified Stroke Center With Operational Lapses,C,D,"Treat the episodes as routine capacity variation, discuss them at the next stroke committee meeting, and maintain routing until an adverse outcome occurs.",2,,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
61,WEBX100-061,2.2.3.1,Spinal Motion Restriction Indication,A,B,No restriction is needed because the mechanism was a fall rather than a motor vehicle crash.,2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
61,WEBX100-061,2.2.3.1,Spinal Motion Restriction Indication,A,C,"Restrict motion only if neurologic deficit appears, because pain alone is not relevant.",2,borderline_absolute_term,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
61,WEBX100-061,2.2.3.1,Spinal Motion Restriction Indication,A,D,Use a long backboard for all transport because every fall patient requires full immobilization.,1,multiple_absolute_terms;low_domain_overlap;brittle_absolute_without_boundary,yes,,,Needs expert check: make the nearby-correct scenario explicit or rewrite closer to the key.
62,WEBX100-062,2.3.11.6.2,Ryan White Infection Control Structure,B,A,A hospital infection-prevention contact who receives source-patient reports and notifies EMS leadership only when the hospital identifies a reportable disease.,2,borderline_absolute_term;no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
62,WEBX100-062,2.3.11.6.2,Ryan White Infection Control Structure,B,C,"A state health department hotline with 24-hour source-patient laboratory access, used whenever hospital notification is delayed.",2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
62,WEBX100-062,2.3.11.6.2,Ryan White Infection Control Structure,B,D,A receiving emergency department callback roster that assigns follow-up to the physician who happened to accept the patient.,2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
63,WEBX100-063,1.5.1,Patient Condition Language,C,A,All transported patients are stable because they left the scene alive.,1,absolute_term;no_real_action_term_info;brittle_absolute_without_boundary,yes,,,Needs expert check: make the nearby-correct scenario explicit or rewrite closer to the key.
63,WEBX100-063,1.5.1,Patient Condition Language,C,B,"The patient is stable, because a single blood pressure improved after treatment.",2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
63,WEBX100-063,1.5.1,Patient Condition Language,C,D,"The patient is unstable and likely to die, because serious injury should be described as bluntly as possible.",2,no_real_action_term_info;low_domain_overlap,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
64,WEBX100-064,2.3.13.3.1,High-Altitude Cerebral Edema Temporizing Medication,D,A,"Acetazolamide now and again twice daily, treating this as acute mountain sickness while maintaining oxygen until weather clears.",2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
64,WEBX100-064,2.3.13.3.1,High-Altitude Cerebral Edema Temporizing Medication,D,B,"Nifedipine extended release with oxygen for presumed high-altitude pulmonary edema physiology, despite dominant ataxia and confusion.",2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
64,WEBX100-064,2.3.13.3.1,High-Altitude Cerebral Edema Temporizing Medication,D,C,"Furosemide with fluid restriction to lower intracranial volume, plus oxygen and close reassessment until evacuation begins.",2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
65,WEBX100-065,1.3.7,Workforce Equity Intervention Package,A,B,"Require a yearly implicit-bias module, update the complaint process, add anonymous reporting, but keep recruitment, mentoring, and advisory-board structure unchanged.",2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
65,WEBX100-065,1.3.7,Workforce Equity Intervention Package,A,C,"Focus on disciplinary review, patient-care-report audits, and legal compliance training, but avoid community partnership and mentorship until workforce numbers improve.",2,,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
65,WEBX100-065,1.3.7,Workforce Equity Intervention Package,A,D,"Broaden job postings, scholarship advertising, and interview panels, but leave policies, mentorship, cultural-humility curriculum, and governance membership unchanged.",2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
66,WEBX100-066,4.6.2.2,Impaled Object During Wilderness Evacuation,B,A,"Shorten only the free end of the branch, pad the wound, and continue trying to package even though the forked segment still blocks the litter.",2,borderline_absolute_term;no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
66,WEBX100-066,4.6.2.2,Impaled Object During Wilderness Evacuation,B,C,"Leave the object fully intact, improvise a wider litter setup, and delay evacuation until a rescue team with power tools can reach the patient.",2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
66,WEBX100-066,4.6.2.2,Impaled Object During Wilderness Evacuation,B,D,Remove the branch immediately because an impaled extremity object with intact distal perfusion has low bleeding risk during prolonged evacuation.,2,borderline_absolute_term;no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
67,WEBX100-067,4.4.5.2,Airway Care Without Light,C,A,Wait for full lighting because airway intervention is contraindicated without direct visualization.,2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
67,WEBX100-067,4.4.5.2,Airway Care Without Light,C,B,Perform surgical airway first in all dark environments because basic adjuncts cannot be assessed.,1,multiple_absolute_terms;brittle_absolute_without_boundary,yes,,,Needs expert check: make the nearby-correct scenario explicit or rewrite closer to the key.
67,WEBX100-067,4.4.5.2,Airway Care Without Light,C,D,Avoid airway adjuncts because low-light care should focus only on hemorrhage.,2,borderline_absolute_term;no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
68,WEBX100-068,1.1.1.2.3,Ambulance Medical Necessity,D,A,Ambulance transport is medically necessary whenever a patient requests EMS instead of private transport.,2,,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
68,WEBX100-068,1.1.1.2.3,Ambulance Medical Necessity,D,B,Any transport from a 911 call is medically necessary because dispatch categorized it as urgent.,2,borderline_absolute_term,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
68,WEBX100-068,1.1.1.2.3,Ambulance Medical Necessity,D,C,Medical necessity is determined only by the final emergency department diagnosis.,2,borderline_absolute_term;no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
69,WEBX100-069,1.2.2.4,EMAC Mutual Aid Function,A,B,"The Interstate Disaster Ambulance Reciprocity Act (IDARA), a plausible-sounding federal law that would create licensing reciprocity and reimbursement during disasters.",2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
69,WEBX100-069,1.2.2.4,EMAC Mutual Aid Function,A,C,A county-to-county mutual-aid agreement that can request nearby ambulances but does not solve interstate recognition and reimbursement.,2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
69,WEBX100-069,1.2.2.4,EMAC Mutual Aid Function,A,D,A hospital transfer agreement that supports interfacility movement but not state-to-state emergency-management resource sharing.,2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
70,WEBX100-070,1.3.6,Retention Beyond Pay,B,A,Increase wages and signing bonuses while postponing work-climate changes until turnover persists.,2,no_real_action_term_info;low_domain_overlap,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
70,WEBX100-070,1.3.6,Retention Beyond Pay,B,C,"Create a formal grievance pathway and supervisor coaching program, but defer broader culture work until after the next exit-interview cycle.",2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
70,WEBX100-070,1.3.6,Retention Beyond Pay,B,D,Reduce vacancies with mandatory overtime while launching recruitment for more replacement clinicians.,2,no_real_action_term_info;low_domain_overlap,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
71,WEBX100-071,1.2.5.4,Wilderness Protocol Difference,C,A,"Keep ordinary urban protocols as the default, but allow online medical control to approve exceptions when communication is available.",2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
71,WEBX100-071,1.2.5.4,Wilderness Protocol Difference,C,B,Write a wilderness annex focused on equipment and evacuation roles while leaving clinical interventions unchanged.,2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
71,WEBX100-071,1.2.5.4,Wilderness Protocol Difference,C,D,Require emergency department consultation for every modified wilderness intervention before the team proceeds.,2,absolute_term;no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
72,WEBX100-072,1.1.1.1.1,Physician Field Care Feedback Loop,D,A,Treat it as a one-off physician rescue and avoid agency review because the physician handled the procedure.,2,,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
72,WEBX100-072,1.1.1.1.1,Physician Field Care Feedback Loop,D,B,Use the successful outcome to authorize all EMS clinicians to perform the procedure immediately.,1,absolute_term;borderline_absolute_term;brittle_absolute_without_boundary,yes,,,Needs expert check: make the nearby-correct scenario explicit or rewrite closer to the key.
72,WEBX100-072,1.1.1.1.1,Physician Field Care Feedback Loop,D,C,Discuss the case only with the receiving surgeon because EMS system learning ended at transfer of care.,2,borderline_absolute_term;no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
73,WEBX100-073,2.1.2.2.6,Supraglottic Airway System Role,A,B,"Reserve supraglottic airways for failed intubation only, even when first-pass intubation success is poor and ventilation is delayed.",2,borderline_absolute_term;no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
73,WEBX100-073,2.1.2.2.6,Supraglottic Airway System Role,A,C,Use bag-valve-mask ventilation alone in cardiac arrest unless an endotracheal tube can be placed by the first arriving clinician.,2,,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
73,WEBX100-073,2.1.2.2.6,Supraglottic Airway System Role,A,D,Allow supraglottic placement without waveform confirmation because insertion is simpler than intubation and usually restores ventilation quickly.,2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
74,WEBX100-074,2.2.5.1.3,Femoral Shaft Fracture Splint Choice,B,A,Apply traction because isolated femoral shaft fractures commonly cause hemorrhagic shock unless thigh volume is reduced and deformity corrected.,2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
74,WEBX100-074,2.2.5.1.3,Femoral Shaft Fracture Splint Choice,B,C,Avoid splinting and analgesia because the evidence base no longer supports prehospital immobilization of femoral shaft fractures.,2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
74,WEBX100-074,2.2.5.1.3,Femoral Shaft Fracture Splint Choice,B,D,"Use traction for any suspected femur fracture when transport is longer than five minutes, regardless of associated injury concern.",2,borderline_absolute_term,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
75,WEBX100-075,2.3.11.6.1,Tuberculosis Postexposure Testing Window,C,A,"Monitor symptoms and repeat testing only if cough, fever, or weight loss develops during the next few weeks.",2,borderline_absolute_term,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
75,WEBX100-075,2.3.11.6.1,Tuberculosis Postexposure Testing Window,C,B,Repeat testing the next day and clear the paramedic if the second result is negative and symptoms remain absent.,2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
75,WEBX100-075,2.3.11.6.1,Tuberculosis Postexposure Testing Window,C,D,Begin empiric treatment for active tuberculosis exposure and defer repeat testing unless occupational health requests it.,2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
76,WEBX100-076,4.1.5.5,Strategic Caches And Stockpiles,D,A,"Routine hospital floor stock, because disaster caches are intended only for inpatient use.",2,borderline_absolute_term,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
76,WEBX100-076,4.1.5.5,Strategic Caches And Stockpiles,D,B,"Private pharmacy retail inventory, because federal and regional caches cannot support EMS incidents.",1,absolute_term;brittle_absolute_without_boundary,yes,,,Needs expert check: make the nearby-correct scenario explicit or rewrite closer to the key.
76,WEBX100-076,4.1.5.5,Strategic Caches And Stockpiles,D,C,"A media staging area, because public information is the main antidote-access mechanism.",2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
77,WEBX100-077,4.1.7.1,When MCI Triage Is Needed,A,B,Triage is needed only when more than 100 patients are present.,2,borderline_absolute_term,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
77,WEBX100-077,4.1.7.1,When MCI Triage Is Needed,A,C,Triage is needed whenever media or law enforcement call an event a disaster.,2,,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
77,WEBX100-077,4.1.7.1,When MCI Triage Is Needed,A,D,Triage is needed when 10 or more patients are present.,2,,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
78,WEBX100-078,1.1.2.3,NAEMSP TOR Protocol Support,B,A,Require transport of every arrest unless rigor mortis is present.,2,absolute_term,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
78,WEBX100-078,1.1.2.3,NAEMSP TOR Protocol Support,B,C,Allow field termination only when the family requests it.,2,borderline_absolute_term;no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
78,WEBX100-078,1.1.2.3,NAEMSP TOR Protocol Support,B,D,Avoid written protocols because termination decisions must be made informally by the senior paramedic.,2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
79,WEBX100-079,2.1.1.2,Exceptional CPR Transport,C,A,Unwitnessed asystolic arrest with no reversible cause and no receiving intervention.,2,no_real_action_term_info;low_domain_overlap,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
79,WEBX100-079,2.1.1.2,Exceptional CPR Transport,C,B,All arrests after 20 minutes because hospital arrival is the next step in every algorithm.,1,multiple_absolute_terms;no_real_action_term_info;brittle_absolute_without_boundary,yes,,,Needs expert check: make the nearby-correct scenario explicit or rewrite closer to the key.
79,WEBX100-079,2.1.1.2,Exceptional CPR Transport,C,D,Any arrest with family present because transport shows continued effort.,2,borderline_absolute_term,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
80,WEBX100-080,1.5.2,Special Event Communications Matrix,D,A,"Use a supervisor text group and commercial cell phones, with extra batteries and written message forms at the command post.",2,,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
80,WEBX100-080,1.5.2,Special Event Communications Matrix,D,B,Issue radios only to the treatment tent and route every ambulance request through the routine daily dispatch channel.,2,absolute_term;borderline_absolute_term;no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
80,WEBX100-080,1.5.2,Special Event Communications Matrix,D,C,"Wait until call volume rises, then let incident command add tactical channels dynamically as the overload pattern becomes clear.",2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
81,WEBX100-081,2.2.5.1.3,Femoral Fracture Protocol Update,A,B,Require traction for every mid-thigh deformity because isolated femoral shaft fractures commonly cause hemorrhagic shock and static splinting is inferior in delayed transport.,2,absolute_term,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
81,WEBX100-081,2.2.5.1.3,Femoral Fracture Protocol Update,A,C,Remove all traction splints and use only soft padding because the evidence no longer supports field immobilization or device-based femur fracture protocols.,1,absolute_term;borderline_absolute_term;brittle_absolute_without_boundary,yes,,,Needs expert check: make the nearby-correct scenario explicit or rewrite closer to the key.
81,WEBX100-081,2.2.5.1.3,Femoral Fracture Protocol Update,A,D,"Permit traction whenever transport exceeds 10 minutes, even when knee pain, pelvic tenderness, or distal leg injury prevents exclusion of associated trauma.",2,,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
82,WEBX100-082,4.7.2,MIH Heart-Failure Education Need,B,A,Use the same brief task checklist because vaccination visits and longitudinal heart-failure care both occur outside the hospital.,2,,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
82,WEBX100-082,4.7.2,MIH Heart-Failure Education Need,B,C,"Emphasize advanced cardiovascular physiology, including Frank-Starling curves and electrophysiology, as the main added curriculum.",2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
82,WEBX100-082,4.7.2,MIH Heart-Failure Education Need,B,D,"Focus added training on acute heart-failure rescue care, including inotrope selection, intravenous diuretics, and escalation during decompensation.",2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
83,WEBX100-083,1.5.4,PSAP Quality Beyond Answer Time,C,A,Keep focusing only on answer time because field crews make all clinical decisions.,1,absolute_term;borderline_absolute_term;no_real_action_term_info;low_domain_overlap;brittle_absolute_without_boundary,yes,,,Needs expert check: make the nearby-correct scenario explicit or rewrite closer to the key.
83,WEBX100-083,1.5.4,PSAP Quality Beyond Answer Time,C,B,Move prearrival instructions to ambulance crews after arrival because telecommunicators should not provide medical guidance.,2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
83,WEBX100-083,1.5.4,PSAP Quality Beyond Answer Time,C,D,Stop reviewing response-mode selection because it is an administrative rather than patient-safety function.,2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
84,WEBX100-084,2.1.2.1.3,BVM Complication And Cricoid Pressure,D,A,Add cricoid pressure to future bag-valve-mask attempts as the main aspiration-prevention step and keep the same ventilation force.,2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
84,WEBX100-084,2.1.2.1.3,BVM Complication And Cricoid Pressure,D,B,Attribute vomiting primarily to inadequate mask seal and increase delivered volume until chest rise becomes easier to see.,2,no_real_action_term_info;low_domain_overlap,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
84,WEBX100-084,2.1.2.1.3,BVM Complication And Cricoid Pressure,D,C,"Suction and reposition after emesis, then resume ventilation but treat aspiration risk as unrelated to bag-valve-mask technique.",2,,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
85,WEBX100-085,4.7.5,MIH Competency Evaluation,A,B,"One-time course completion before program launch, with no scheduled review unless a complaint occurs.",2,,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
85,WEBX100-085,4.7.5,MIH Competency Evaluation,A,C,"Annual human-resources evaluation only, because MIH-CP clinicians are not providing emergency care.",2,borderline_absolute_term;no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
85,WEBX100-085,4.7.5,MIH Competency Evaluation,A,D,Self-attestation by clinicians because community paramedicine depends on independent judgment.,2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
86,WEBX100-086,2.3.8.4,Caustic Ingestion Oral Exam Trap,B,A,Clear the child because absence of oral burns rules out significant caustic injury.,2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
86,WEBX100-086,2.3.8.4,Caustic Ingestion Oral Exam Trap,B,C,Induce vomiting to determine whether esophageal injury is present.,2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
86,WEBX100-086,2.3.8.4,Caustic Ingestion Oral Exam Trap,B,D,Use oral lesions alone to determine destination because visible burns reliably grade severity.,2,,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
87,WEBX100-087,1.1.1.2.1,Protocol Rollout Quality Loop,C,A,"A longer protocol document, because implementation failures mainly reflect insufficient detail.",2,,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
87,WEBX100-087,1.1.1.2.1,Protocol Rollout Quality Loop,C,B,"A rule suspending clinicians after the first dosing error, because adoption is primarily disciplinary.",2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
87,WEBX100-087,1.1.1.2.1,Protocol Rollout Quality Loop,C,D,A delay until every hospital adopts identical analgesia orders.,2,absolute_term;no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
88,WEBX100-088,3.2.1.5,EFIC Eligibility Boundary,D,A,Ordinary verbal consent from the crew because EMS clinicians can consent for incapacitated patients.,2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
88,WEBX100-088,3.2.1.5,EFIC Eligibility Boundary,D,B,No human-subjects review because the intervention occurs before hospital arrival.,2,,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
88,WEBX100-088,3.2.1.5,EFIC Eligibility Boundary,D,C,Retrospective chart review rules because the patients are enrolled during clinical care.,2,low_domain_overlap,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
89,WEBX100-089,1.1.2.3,POLST Across Settings,A,B,POLST is only a living will summary and has no EMS relevance.,2,borderline_absolute_term;no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
89,WEBX100-089,1.1.2.3,POLST Across Settings,A,C,POLST becomes active only after a hospital physician countersigns it during this encounter.,2,borderline_absolute_term;no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
89,WEBX100-089,1.1.2.3,POLST Across Settings,A,D,POLST applies only to cardiopulmonary resuscitation and says nothing about transport or treatment intensity.,2,borderline_absolute_term,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
90,WEBX100-090,2.3.2.2.1,Volume-Overload Heart Failure Pattern,B,A,"Treat chronic obstructive pulmonary disease first if wheezing is present, then reassess for heart failure after bronchodilators.",2,,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
